case,metric,mean,std
C1_RE_ETX,FND,125.5,8.771798244627178
C1_RE_ETX,HND,409.1,55.00999909107435
C1_RE_ETX,LND,1268.6,150.12454089114738
C1_RE_ETX,PDR,95.35050000000001,2.072222062853732
C1_RE_ETX,Payload_reduction,0.0,0.0
C1_RE_ETX,Compression_ratio,1.0,0.0
C1_RE_ETX,Radio_efficiency,0.5684316,0.04273510750139232
C2_SEMANTIC_ROUTING,FND,123.8,9.02835040918944
C2_SEMANTIC_ROUTING,HND,409.0,54.810785637702935
C2_SEMANTIC_ROUTING,LND,1268.2,152.1058111242887
C2_SEMANTIC_ROUTING,PDR,95.3789,2.03861796595417
C2_SEMANTIC_ROUTING,Payload_reduction,0.0,0.0
C2_SEMANTIC_ROUTING,Compression_ratio,1.0,0.0
C2_SEMANTIC_ROUTING,Radio_efficiency,0.5679666,0.043120503986438324
C3_FULL_SEMANTIC,FND,267.1,17.766697936182613
C3_FULL_SEMANTIC,HND,873.3,127.30283229807226
C3_FULL_SEMANTIC,LND,2637.5,277.9973021451827
C3_FULL_SEMANTIC,PDR,97.81809999999999,0.9531337145321093
C3_FULL_SEMANTIC,Payload_reduction,55.318,0.2756326057151681
C3_FULL_SEMANTIC,Compression_ratio,0.43693289999999996,0.006132516258075113
C3_FULL_SEMANTIC,Radio_efficiency,0.5277326999999999,0.03942382699459807
