case,seed,FND,HND,LND,PDR,Payload_reduction,Compression_ratio,Radio_efficiency
C1_RE_ETX,101,141.0,363.0,1320.0,90.932,0.0,1.0,0.58542
C1_RE_ETX,11,123.0,360.0,1274.0,96.254,0.0,1.0,0.544419
C1_RE_ETX,137,127.0,417.0,1233.0,95.92,0.0,1.0,0.61631
C1_RE_ETX,173,117.0,400.0,1246.0,94.325,0.0,1.0,0.583231
C1_RE_ETX,211,130.0,392.0,1285.0,94.761,0.0,1.0,0.527076
C1_RE_ETX,23,124.0,495.0,936.0,98.142,0.0,1.0,0.498824
C1_RE_ETX,257,135.0,387.0,1173.0,95.638,0.0,1.0,0.546156
C1_RE_ETX,307,128.0,357.0,1301.0,93.669,0.0,1.0,0.547368
C1_RE_ETX,42,111.0,403.0,1410.0,96.269,0.0,1.0,0.599063
C1_RE_ETX,67,119.0,517.0,1508.0,97.595,0.0,1.0,0.636449
C2_SEMANTIC_ROUTING,101,139.0,364.0,1320.0,91.008,0.0,1.0,0.585021
C2_SEMANTIC_ROUTING,11,120.0,354.0,1275.0,96.281,0.0,1.0,0.544316
C2_SEMANTIC_ROUTING,137,125.0,418.0,1236.0,95.969,0.0,1.0,0.616
C2_SEMANTIC_ROUTING,173,115.0,406.0,1246.0,94.368,0.0,1.0,0.583286
C2_SEMANTIC_ROUTING,211,130.0,394.0,1285.0,94.819,0.0,1.0,0.525983
C2_SEMANTIC_ROUTING,23,124.0,494.0,928.0,98.097,0.0,1.0,0.497489
C2_SEMANTIC_ROUTING,257,135.0,383.0,1173.0,95.601,0.0,1.0,0.544873
C2_SEMANTIC_ROUTING,307,122.0,359.0,1301.0,93.77,0.0,1.0,0.547362
C2_SEMANTIC_ROUTING,42,109.0,403.0,1409.0,96.262,0.0,1.0,0.59877
C2_SEMANTIC_ROUTING,67,119.0,515.0,1509.0,97.614,0.0,1.0,0.636566
C3_FULL_SEMANTIC,101,300.0,760.0,2764.0,95.795,55.67,0.42953,0.530319
C3_FULL_SEMANTIC,11,262.0,831.0,2702.0,98.234,55.68,0.427211,0.507686
C3_FULL_SEMANTIC,137,282.0,838.0,2584.0,98.121,54.84,0.447533,0.575382
C3_FULL_SEMANTIC,173,264.0,858.0,2628.0,97.362,55.33,0.43644,0.536852
C3_FULL_SEMANTIC,211,255.0,852.0,2722.0,97.51,55.18,0.438,0.491307
C3_FULL_SEMANTIC,23,277.0,1073.0,1974.0,99.012,55.39,0.436847,0.470057
C3_FULL_SEMANTIC,257,281.0,808.0,2492.0,97.929,54.94,0.445045,0.508722
C3_FULL_SEMANTIC,307,254.0,743.0,2777.0,97.012,55.29,0.436726,0.50337
C3_FULL_SEMANTIC,42,239.0,838.0,3066.0,98.29,55.37,0.434023,0.556824
C3_FULL_SEMANTIC,67,257.0,1132.0,2666.0,98.916,55.49,0.437974,0.596808
