method,correlation,n,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,effective_bits_mean,effective_bits_sd,raw_selected_bits_mean,raw_selected_bits_sd,compression_saving_mean,compression_saving_sd,energy_j_mean,energy_j_sd,min_residual_energy_j_mean,min_residual_energy_j_sd,participation_jain_mean,participation_jain_sd,representation_js_mean,representation_js_sd,class_coverage_js_mean,class_coverage_js_sd,mean_route_cost_mean,mean_route_cost_sd,mean_route_hops_mean,mean_route_hops_sd,max_relay_queue_mean,max_relay_queue_sd,max_relay_energy_j_mean,max_relay_energy_j_sd
random,0.0,3,0.9500000000000001,0.015394804318340605,0.9496461035303795,0.015706989389257676,2039604.5673010244,181772.9575348159,1463040.0,0.0,0.4856003085967644,0.006713326331672539,7.393609134279255,0.28807038870990004,8.356709230943741,0.11103058044787806,0.9187047218170591,0.021427934175750864,0.047188631214311695,0.015140742958170451,0.0010631348795323563,0.0006027053379711232,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.2640449791532565,0.1306781124858343,0.42004497915325656,0.1302761141083257
resource,0.0,3,0.9486666666666667,0.018610033136277102,0.9481513067775315,0.019078573628032388,1610563.653458508,135817.79983839297,1463040.0,0.0,0.5936649078563192,0.009095476824047342,6.465666422169935,0.22824519622873812,8.40454022174062,0.22826449119616277,0.77817543335011,0.07541265793538533,0.10473090496304711,0.039438594698459395,0.0023637375443836916,0.0012412997282129346,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.014731713298667043,0.009064785757417825,0.1386408495002416,0.030953474287876166
utility,0.0,3,0.9436666666666667,0.015044378795195632,0.9431855177011298,0.015502369013471505,2085977.8079275386,294335.5852370393,1463040.0,0.0,0.47567493452054893,0.02072152871542493,7.455786837070517,0.610800832443918,8.434307165211424,0.1298274901328639,0.6117415479419807,0.07281736183499105,0.08216444965136564,0.021450587921218848,0.01848072253625675,0.012828550492551901,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.3706215571846904,0.20870872721028877,0.5186215571846905,0.21856377486984688
proposed,0.0,3,0.9446666666666667,0.017243356208503372,0.9441313949272984,0.017648482073827906,1552876.1627215827,95616.06197065371,1463040.0,0.0,0.6046225141735825,0.060156445506556515,6.371999480967264,0.12326060795139245,8.407180776914513,0.15589784483316865,0.8161633046733533,0.0518181061291888,0.01365592691819994,0.00987028572688028,0.007261727891663211,0.0067542184942809376,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.03052797409328596,0.03770391994766874,0.17901019637088514,0.04496491074979479
random,0.5,3,0.9566666666666667,0.013650396819628858,0.9564534056118476,0.013618004031126969,2044637.4700893753,231864.83121388825,1463040.0,0.0,0.48513725643124267,0.008485972106786033,7.39680024040337,0.43503206331424976,8.36333925150989,0.20079555885038416,0.924430526238809,0.015226158481985592,0.057830632029827224,0.006194733632445489,0.000724393826548048,0.00046902812464339724,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.2222776204292063,0.11113489987335753,0.3769442870958731,0.11257349175573395
resource,0.5,3,0.9523333333333333,0.009504384952922176,0.9520857049048187,0.00946122472587379,1617994.9233389164,127709.82685700481,1463040.0,0.0,0.5916349230079402,0.01153748974184142,6.481973018197627,0.21437007039230138,8.399866631132419,0.23281434939916926,0.7823774383414069,0.08259392156272699,0.135625464868452,0.05296451394659671,0.011662067483193676,0.009964123574784756,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.015448532388922619,0.0029870028334765424,0.14054731609730978,0.01967571604068173
utility,0.5,3,0.9553333333333333,0.013316656236958798,0.9553264269779483,0.01318395280782347,2098666.3926102202,164633.545801139,1463040.0,0.0,0.46996388990832694,0.02809655086574017,7.500004087855747,0.24326182735453086,8.309532076247573,0.06150986233485296,0.6374887311777357,0.04430151421619624,0.07739033677851981,0.01856581144456243,0.018214498451590937,0.012376345051149156,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.26056147039607364,0.12682345304363912,0.41656147039607383,0.1330634464396872
proposed,0.5,3,0.9536666666666666,0.015373136743466891,0.9537201396177618,0.01509319682559436,1499665.9309223918,50216.36977083341,1463040.0,0.0,0.6189037818359914,0.04731797036202773,6.306734377302377,0.10456987422453597,8.435915631247882,0.09871472260411435,0.8375805455286413,0.014961514610677427,0.012554445899024868,0.0061967623916857435,0.008798651516651377,0.005964262985347041,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.02146985628887711,0.014745519795884635,0.16545778442064465,0.0280292249473946
random,0.9,3,0.9486666666666667,0.017039170558842694,0.9484360932420772,0.016886552531236863,2057370.7980992661,186186.40172643197,1463040.0,0.0,0.48117261178563847,0.005491466824155257,7.42186978484031,0.29960552305302074,8.382369823781696,0.1335486391752912,0.9325019644743252,0.011914316902983545,0.0624886679219776,0.023381429873507577,0.0012649958292684851,0.0018658384398773976,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.23864800403350017,0.07624860960719292,0.3984660283637129,0.07627417444389135
resource,0.9,3,0.9470000000000001,0.017320508075688724,0.946801716641481,0.01707033735203071,1620556.2102673168,150407.8586086997,1463040.0,0.0,0.5912437951468655,0.015444461664743322,6.488662522620385,0.26525164667799267,8.430667833966597,0.2653183189213403,0.784035134135876,0.07812646219168794,0.08896815589219705,0.032952175419510614,0.007641403690017701,0.0027084082305256817,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.015857244219232316,0.00697510244248689,0.14363008798054633,0.018345749046612278
