round,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
1,100,0,49.890569725863365,100,100,0,1.0,0.01700034594663305,400000.0
2,100,0,49.78113945172673,200,200,0,1.0,0.01700034594663305,400000.0
3,100,0,49.6717091775901,300,300,0,1.0,0.017000345946633053,400000.0
4,100,0,49.56227890345346,400,400,0,1.0,0.01700034594663305,400000.0
5,100,0,49.45284862931682,500,500,0,1.0,0.01700034594663305,400000.0
6,100,0,49.34341835518019,600,600,0,1.0,0.017000345946633053,400000.0
7,100,0,49.233988081043556,700,700,0,1.0,0.017000345946633053,400000.0
8,100,0,49.12455780690691,800,800,0,1.0,0.017000345946633053,400000.0
9,100,0,49.01512753277028,900,900,0,1.0,0.017000345946633053,400000.0
10,100,0,48.90569725863364,1000,1000,0,1.0,0.017000345946633053,400000.0
11,100,0,48.796266984496995,1100,1100,0,1.0,0.017000345946633053,400000.0
12,100,0,48.68683671036035,1200,1200,0,1.0,0.017000345946633053,400000.0
13,100,0,48.577406436223725,1300,1300,0,1.0,0.01700034594663305,400000.0
14,100,0,48.467976162087105,1400,1400,0,1.0,0.01700034594663305,400000.0
15,100,0,48.358545887950456,1500,1500,0,1.0,0.01700034594663305,400000.0
16,100,0,48.249115613813814,1600,1600,0,1.0,0.01700034594663305,400000.0
17,100,0,48.139685339677186,1700,1700,0,1.0,0.01700034594663305,400000.0
18,100,0,48.030255065540544,1800,1800,0,1.0,0.017000345946633046,400000.0
19,100,0,47.92082479140391,1900,1900,0,1.0,0.01700034594663305,400000.0
20,100,0,47.81139451726729,2000,2000,0,1.0,0.01700034594663305,400000.0
21,100,0,47.70196424313063,2100,2100,0,1.0,0.017000345946633053,400000.0
22,100,0,47.592533968994005,2200,2200,0,1.0,0.017000345946633053,400000.0
23,100,0,47.483103694857355,2300,2300,0,1.0,0.017000345946633053,400000.0
24,100,0,47.37367342072073,2400,2400,0,1.0,0.017000345946633053,400000.0
25,100,0,47.264243146584086,2500,2500,0,1.0,0.017000345946633057,400000.0
26,100,0,47.15481287244746,2600,2600,0,1.0,0.017000345946633057,400000.0
27,100,0,47.04538259831084,2700,2700,0,1.0,0.017000345946633057,400000.0
28,100,0,46.93595232417419,2800,2800,0,1.0,0.017000345946633057,400000.0
29,100,0,46.826522050037546,2900,2900,0,1.0,0.017000345946633057,400000.0
30,100,0,46.71709177590091,3000,3000,0,1.0,0.01700034594663306,400000.0
31,100,0,46.60766150176429,3100,3100,0,1.0,0.01700034594663306,400000.0
32,100,0,46.49823122762764,3200,3200,0,1.0,0.01700034594663306,400000.0
33,100,0,46.388800953491,3300,3300,0,1.0,0.01700034594663306,400000.0
34,100,0,46.27937067935436,3400,3400,0,1.0,0.01700034594663306,400000.0
35,100,0,46.16994040521773,3500,3500,0,1.0,0.01700034594663306,400000.0
36,100,0,46.06051013108109,3600,3600,0,1.0,0.01700034594663306,400000.0
37,100,0,45.95107985694445,3700,3700,0,1.0,0.01700034594663306,400000.0
38,100,0,45.84164958280782,3800,3800,0,1.0,0.01700034594663306,400000.0
39,100,0,45.73221930867118,3900,3900,0,1.0,0.01700034594663306,400000.0
40,100,0,45.622789034534556,4000,4000,0,1.0,0.01700034594663306,400000.0
41,100,0,45.513358760397914,4100,4100,0,1.0,0.01700034594663306,400000.0
42,100,0,45.403928486261286,4200,4200,0,1.0,0.01700034594663306,400000.0
43,100,0,45.294498212124644,4300,4300,0,1.0,0.017000345946633064,400000.0
44,100,0,45.185067937988,4400,4400,0,1.0,0.017000345946633064,400000.0
45,100,0,45.07563766385137,4500,4500,0,1.0,0.017000345946633064,400000.0
46,100,0,44.96620738971473,4600,4600,0,1.0,0.017000345946633064,400000.0
47,100,0,44.8567771155781,4700,4700,0,1.0,0.017000345946633064,400000.0
48,100,0,44.74734684144147,4800,4800,0,1.0,0.017000345946633064,400000.0
49,100,0,44.63791656730482,4900,4900,0,1.0,0.017000345946633064,400000.0
50,100,0,44.528486293168186,5000,5000,0,1.0,0.017000345946633064,400000.0
51,100,0,44.41905601903155,5100,5100,0,1.0,0.017000345946633064,400000.0
52,100,0,44.309625744894916,5200,5200,0,1.0,0.017000345946633064,400000.0
53,100,0,44.20019547075829,5300,5300,0,1.0,0.017000345946633064,400000.0
54,100,0,44.09076519662164,5400,5400,0,1.0,0.017000345946633064,400000.0
55,100,0,43.981334922485004,5500,5500,0,1.0,0.017000345946633064,400000.0
56,100,0,43.87190464834837,5600,5600,0,1.0,0.017000345946633064,400000.0
57,100,0,43.76247437421173,5700,5700,0,1.0,0.017000345946633064,400000.0
58,100,0,43.65304410007509,5800,5800,0,1.0,0.017000345946633067,400000.0
59,100,0,43.543613825938465,5900,5900,0,1.0,0.017000345946633067,400000.0
60,100,0,43.43418355180182,6000,6000,0,1.0,0.017000345946633067,400000.0
61,100,0,43.32475327766519,6100,6100,0,1.0,0.017000345946633067,400000.0
62,100,0,43.21532300352855,6200,6200,0,1.0,0.017000345946633067,400000.0
63,100,0,43.10589272939191,6300,6300,0,1.0,0.017000345946633067,400000.0
64,100,0,42.996462455255276,6400,6400,0,1.0,0.017000345946633067,400000.0
65,100,0,42.88703218111864,6500,6500,0,1.0,0.017000345946633067,400000.0
66,100,0,42.777601906982014,6600,6600,0,1.0,0.017000345946633067,400000.0
67,100,0,42.66817163284537,6700,6700,0,1.0,0.017000345946633067,400000.0
68,100,0,42.55874135870874,6800,6800,0,1.0,0.017000345946633067,400000.0
69,100,0,42.449311084572095,6900,6900,0,1.0,0.017000345946633067,400000.0
70,100,0,42.339880810435474,7000,7000,0,1.0,0.017000345946633067,400000.0
71,100,0,42.23045053629883,7100,7100,0,1.0,0.017000345946633067,400000.0
72,100,0,42.1210202621622,7200,7200,0,1.0,0.017000345946633067,400000.0
73,100,0,42.011589988025555,7300,7300,0,1.0,0.017000345946633067,400000.0
74,100,0,41.90215971388891,7400,7400,0,1.0,0.017000345946633067,400000.0
75,100,0,41.79272943975227,7500,7500,0,1.0,0.017000345946633067,400000.0
76,100,0,41.68329916561564,7600,7600,0,1.0,0.017000345946633067,400000.0
77,100,0,41.57386889147901,7700,7700,0,1.0,0.017000345946633067,400000.0
78,100,0,41.464438617342374,7800,7800,0,1.0,0.017000345946633064,400000.0
79,100,0,41.35500834320573,7900,7900,0,1.0,0.017000345946633064,400000.0
80,100,0,41.24557806906909,8000,8000,0,1.0,0.01700034594663306,400000.0
81,100,0,41.13614779493247,8100,8100,0,1.0,0.01700034594663306,400000.0
82,100,0,41.02671752079583,8200,8200,0,1.0,0.017000345946633057,400000.0
83,100,0,40.91728724665919,8300,8300,0,1.0,0.017000345946633057,400000.0
84,100,0,40.80785697252256,8400,8400,0,1.0,0.017000345946633057,400000.0
85,100,0,40.698426698385916,8500,8500,0,1.0,0.017000345946633053,400000.0
86,100,0,40.588996424249274,8600,8600,0,1.0,0.017000345946633053,400000.0
87,100,0,40.479566150112646,8700,8700,0,1.0,0.01700034594663305,400000.0
88,100,0,40.370135875976004,8800,8800,0,1.0,0.01700034594663305,400000.0
89,100,0,40.260705601839376,8900,8900,0,1.0,0.01700034594663305,400000.0
90,100,0,40.151275327702734,9000,9000,0,1.0,0.017000345946633046,400000.0
91,100,0,40.0418450535661,9100,9100,0,1.0,0.017000345946633046,400000.0
92,100,0,39.93241477942947,9200,9200,0,1.0,0.017000345946633043,400000.0
93,100,0,39.82298450529283,9300,9300,0,1.0,0.017000345946633043,400000.0
94,100,0,39.713554231156195,9400,9400,0,1.0,0.017000345946633043,400000.0
95,100,0,39.60412395701956,9500,9500,0,1.0,0.01700034594663304,400000.0
96,100,0,39.494693682882925,9600,9600,0,1.0,0.01700034594663304,400000.0
97,100,0,39.385263408746276,9700,9700,0,1.0,0.01700034594663304,400000.0
98,100,0,39.27583313460965,9800,9800,0,1.0,0.017000345946633036,400000.0
99,100,0,39.166402860473006,9900,9900,0,1.0,0.017000345946633036,400000.0
100,100,0,39.05697258633637,10000,10000,0,1.0,0.017000345946633036,400000.0
101,100,0,38.94754231219972,10100,10100,0,1.0,0.017000345946633036,400000.0
102,100,0,38.8381120380631,10200,10200,0,1.0,0.017000345946633032,400000.0
103,100,0,38.728681763926474,10300,10300,0,1.0,0.017000345946633032,400000.0
104,100,0,38.61925148978983,10400,10400,0,1.0,0.017000345946633032,400000.0
105,100,0,38.5098212156532,10500,10500,0,1.0,0.01700034594663303,400000.0
106,100,0,38.400390941516555,10600,10600,0,1.0,0.01700034594663303,400000.0
107,100,0,38.29096066737992,10700,10700,0,1.0,0.01700034594663303,400000.0
108,100,0,38.18153039324328,10800,10800,0,1.0,0.01700034594663303,400000.0
109,100,0,38.07210011910666,10900,10900,0,1.0,0.017000345946633025,400000.0
110,100,0,37.962669844970016,11000,11000,0,1.0,0.017000345946633025,400000.0
111,100,0,37.853239570833374,11100,11100,0,1.0,0.017000345946633025,400000.0
112,100,0,37.743809296696746,11200,11200,0,1.0,0.017000345946633025,400000.0
113,100,0,37.63437902256011,11300,11300,0,1.0,0.017000345946633022,400000.0
114,100,0,37.52494874842347,11400,11400,0,1.0,0.017000345946633022,400000.0
115,100,0,37.415518474286834,11500,11500,0,1.0,0.017000345946633022,400000.0
116,100,0,37.30608820015021,11600,11600,0,1.0,0.017000345946633022,400000.0
117,100,0,37.196657926013565,11700,11700,0,1.0,0.017000345946633022,400000.0
118,100,0,37.087227651876916,11800,11800,0,1.0,0.01700034594663302,400000.0
119,100,0,36.97779737774027,11900,11900,0,1.0,0.01700034594663302,400000.0
120,100,0,36.86836710360365,12000,12000,0,1.0,0.01700034594663302,400000.0
121,100,0,36.75893682946701,12100,12100,0,1.0,0.01700034594663302,400000.0
122,100,0,36.649506555330376,12200,12200,0,1.0,0.01700034594663302,400000.0
123,100,0,36.54007628119374,12300,12300,0,1.0,0.017000345946633015,400000.0
124,100,0,36.4306460070571,12400,12400,0,1.0,0.017000345946633015,400000.0
125,100,0,36.32121573292046,12500,12500,0,1.0,0.017000345946633015,400000.0
126,100,0,36.21178545878384,12600,12600,0,1.0,0.017000345946633015,400000.0
127,100,0,36.1023551846472,12700,12700,0,1.0,0.017000345946633015,400000.0
128,100,0,35.99292491051056,12800,12800,0,1.0,0.01700034594663301,400000.0
129,100,0,35.88349463637392,12900,12900,0,1.0,0.01700034594663301,400000.0
130,100,0,35.77406436223728,13000,13000,0,1.0,0.01700034594663301,400000.0
131,100,0,35.664634088100655,13100,13100,0,1.0,0.01700034594663301,400000.0
132,100,0,35.55520381396401,13200,13200,0,1.0,0.01700034594663301,400000.0
133,100,0,35.44577353982738,13300,13300,0,1.0,0.01700034594663301,400000.0
134,100,0,35.33634326569074,13400,13400,0,1.0,0.017000345946633008,400000.0
135,100,0,35.22691299155411,13500,13500,0,1.0,0.017000345946633008,400000.0
136,100,0,35.11748271741747,13600,13600,0,1.0,0.017000345946633008,400000.0
137,100,0,35.008052443280846,13700,13700,0,1.0,0.017000345946633008,400000.0
138,100,0,34.898622169144204,13800,13800,0,1.0,0.017000345946633008,400000.0
139,100,0,34.78919189500756,13900,13900,0,1.0,0.017000345946633008,400000.0
140,100,0,34.67976162087092,14000,14000,0,1.0,0.017000345946633005,400000.0
141,100,0,34.570331346734285,14100,14100,0,1.0,0.017000345946633005,400000.0
142,100,0,34.46090107259765,14200,14200,0,1.0,0.017000345946633005,400000.0
143,100,0,34.35147079846102,14300,14300,0,1.0,0.017000345946633005,400000.0
144,100,0,34.24204052432439,14400,14400,0,1.0,0.017000345946633005,400000.0
145,100,0,34.132610250187746,14500,14500,0,1.0,0.017000345946633005,400000.0
146,100,0,34.02317997605111,14600,14600,0,1.0,0.017000345946633005,400000.0
147,100,0,33.91374970191446,14700,14700,0,1.0,0.017000345946633,400000.0
148,100,0,33.80431942777784,14800,14800,0,1.0,0.017000345946633,400000.0
149,100,0,33.6948891536412,14900,14900,0,1.0,0.017000345946633,400000.0
