round,round_airtime_s,elapsed_channel_time_s,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
1,1.6,1.6,100,0,49.890569725863365,100,100,0,1.0,0.8090003459466328,250000.0
2,1.6,3.2,100,0,49.78113945172673,200,200,0,1.0,0.8090003459466328,250000.0
3,1.6,4.800000000000001,100,0,49.6717091775901,300,300,0,1.0,0.8090003459466328,249999.99999999997
4,1.6,6.4,100,0,49.56227890345346,400,400,0,1.0,0.8090003459466328,250000.0
5,1.6,8.0,100,0,49.45284862931682,500,500,0,1.0,0.8090003459466328,250000.0
6,1.6,9.6,100,0,49.34341835518019,600,600,0,1.0,0.8090003459466328,250000.0
7,1.6,11.2,100,0,49.233988081043556,700,700,0,1.0,0.8090003459466327,250000.00000000003
8,1.6,12.799999999999999,100,0,49.12455780690691,800,800,0,1.0,0.8090003459466328,250000.00000000003
9,1.6,14.399999999999999,100,0,49.01512753277028,900,900,0,1.0,0.8090003459466328,250000.00000000003
10,1.6,15.999999999999998,100,0,48.90569725863364,1000,1000,0,1.0,0.809000345946633,250000.00000000003
11,1.6,17.599999999999998,100,0,48.796266984496995,1100,1100,0,1.0,0.809000345946633,250000.00000000003
12,1.6,19.2,100,0,48.68683671036035,1200,1200,0,1.0,0.8090003459466331,250000.0
13,1.6,20.8,100,0,48.577406436223725,1300,1300,0,1.0,0.8090003459466331,250000.0
14,1.6,22.400000000000002,100,0,48.467976162087105,1400,1400,0,1.0,0.8090003459466331,249999.99999999997
15,1.6,24.000000000000004,100,0,48.358545887950456,1500,1500,0,1.0,0.8090003459466331,249999.99999999997
16,1.6,25.600000000000005,100,0,48.249115613813814,1600,1600,0,1.0,0.8090003459466331,249999.99999999994
17,1.6,27.200000000000006,100,0,48.139685339677186,1700,1700,0,1.0,0.8090003459466332,249999.99999999994
18,1.6,28.800000000000008,100,0,48.030255065540544,1800,1800,0,1.0,0.8090003459466332,249999.99999999994
19,1.6,30.40000000000001,100,0,47.92082479140391,1900,1900,0,1.0,0.8090003459466332,249999.9999999999
20,1.6,32.00000000000001,100,0,47.81139451726729,2000,2000,0,1.0,0.8090003459466332,249999.99999999994
21,1.6,33.60000000000001,100,0,47.70196424313063,2100,2100,0,1.0,0.8090003459466332,249999.99999999994
22,1.6,35.20000000000001,100,0,47.592533968994005,2200,2200,0,1.0,0.8090003459466332,249999.99999999994
