round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
1,100,0,0.7045439999999993,0.7045439999999993,100,100,0,0,0,0,100,100,100,0,0,0,1.0,141935.7768996686,0.37492507454558854,246,0,49.96117194073207
2,100,0,0.7045439999999994,1.4090879999999988,100,100,0,0,0,0,200,200,200,0,0,0,1.0,141935.77689966856,0.3727197925971194,492,0,49.92507772334934
3,100,0,0.7045439999999993,2.113631999999998,100,100,0,0,0,0,300,300,300,0,0,0,1.0,141935.77689966856,0.3724238452934977,738,0,49.88871586604493
4,100,0,0.7045439999999993,2.8181759999999976,100,100,0,0,0,0,400,400,400,0,0,0,1.0,141935.77689966856,0.3711732316561846,984,0,49.85192651740298
5,100,0,0.7045439999999993,3.522719999999997,100,100,0,0,0,0,500,500,500,0,0,0,1.0,141935.77689966856,0.37068635153202995,1230,0,49.81558454028681
6,100,0,0.7086079999999993,4.231327999999996,100,100,0,0,0,0,600,600,600,0,0,0,1.0,141799.45397756936,0.37015499122623896,1477,1,49.7776673465381
7,100,0,0.7045439999999994,4.935871999999995,100,100,0,0,0,0,700,700,700,0,0,0,1.0,141818.9126460331,0.3695108083049722,1723,1,49.74199754474923
8,100,0,0.7045439999999994,5.640415999999995,100,100,0,0,0,0,800,800,800,0,0,0,1.0,141833.5101524428,0.3691923510612466,1969,1,49.706565069181345
9,100,0,0.7045439999999994,6.344959999999994,100,100,0,0,0,0,900,900,900,0,0,0,1.0,141844.86584627812,0.3684545999080104,2215,1,49.670174690434216
10,100,0,0.7045439999999994,7.0495039999999936,100,100,0,0,0,0,1000,1000,1000,0,0,0,1.0,141853.9517106453,0.36799614300619876,2461,1,49.633856833875335
11,100,0,0.7045439999999995,7.754047999999993,100,100,0,0,0,0,1100,1100,1100,0,0,0,1.0,141861.3864654953,0.3672200817597688,2707,1,49.59838809417179
12,100,0,0.7045439999999995,8.458591999999992,100,100,0,0,0,0,1200,1200,1200,0,0,0,1.0,141867.58268988517,0.3666831508629846,2953,1,49.56130007490117
13,100,0,0.7045439999999995,9.163135999999993,100,100,0,0,0,0,1300,1300,1300,0,0,0,1.0,141872.82607177293,0.36633016626289405,3199,1,49.5251533684137
14,100,0,0.7086079999999996,9.871743999999993,100,100,0,0,0,0,1400,1400,1400,0,0,0,1.0,141818.91264603307,0.36614203085156616,3446,2,49.48915709633098
15,100,0,0.7045439999999995,10.576287999999993,100,100,0,0,0,0,1500,1500,1500,0,0,0,1.0,141826.6976088398,0.3660478442019354,3692,2,49.452531586877804
16,100,0,0.7045439999999995,11.280831999999993,100,100,0,0,0,0,1600,1600,1600,0,0,0,1.0,141833.51015244273,0.36604777086420787,3938,2,49.41688090654054
17,100,0,0.7045439999999996,11.985375999999993,100,100,0,0,0,0,1700,1700,1700,0,0,0,1.0,141839.5217638563,0.36578826139685355,4184,2,49.3809327184822
18,100,0,0.7062079999999997,12.691583999999994,100,100,0,0,0,0,1800,1800,1800,0,0,0,1.0,141826.26849414548,0.36532272414448763,4431,3,49.34432522114462
19,100,0,0.7062079999999996,13.397791999999994,100,100,0,0,0,0,1900,1900,1900,0,0,0,1.0,141814.41240467093,0.36504471714907677,4678,4,49.30739373983059
20,100,0,0.7045439999999997,14.102335999999994,100,100,0,0,0,0,2000,2000,2000,0,0,0,1.0,141820.47569991247,0.36478550276175886,4924,4,49.27193227254986
21,100,0,0.7045439999999997,14.806879999999994,100,100,0,0,0,0,2100,2100,2100,0,0,0,1.0,141825.96198523935,0.36461371075533244,5170,4,49.235908224736704
22,100,0,0.7062079999999997,15.513087999999994,100,100,0,0,0,0,2200,2200,2200,0,0,0,1.0,141815.7364929536,0.3645234707444239,5417,5,49.19936915151693
23,100,0,0.7062079999999997,16.219295999999993,100,100,0,0,0,0,2300,2300,2300,0,0,0,1.0,141806.40146156782,0.36449908119298235,5664,6,49.16335215387411
24,100,0,0.7045439999999997,16.92383999999999,100,100,0,0,0,0,2400,2400,2400,0,0,0,1.0,141811.78739576842,0.36452537745725183,5910,6,49.1266228542187
25,100,0,0.7045439999999998,17.62838399999999,100,100,0,0,0,0,2500,2500,2500,0,0,0,1.0,141816.74281658497,0.36437314754343975,6156,6,49.09109163054889
26,100,0,0.7045439999999998,18.33292799999999,100,100,0,0,0,0,2600,2600,2600,0,0,0,1.0,141821.31735858024,0.3642832984246604,6402,6,49.05513080418053
27,100,0,0.7045439999999998,19.037471999999987,100,100,0,0,0,0,2700,2700,2700,0,0,0,1.0,141825.55330875874,0.3642488988865182,6648,6,49.018637945636414
28,100,0,0.7045439999999998,19.742015999999985,100,100,0,0,0,0,2800,2800,2800,0,0,0,1.0,141829.48691764823,0.36426400786692076,6894,6,48.983118384011284
29,100,0,0.7045439999999998,20.446559999999984,100,100,0,0,0,0,2900,2900,2900,0,0,0,1.0,141833.149439319,0.3643235038144904,7140,6,48.94706790906327
30,100,0,0.7086079999999998,21.155167999999982,100,100,0,0,0,0,3000,3000,3000,0,0,0,1.0,141809.32054049405,0.3645380947149308,7387,7,48.91094053817713
31,100,0,0.7045439999999998,21.85971199999998,100,100,0,0,0,0,3100,3100,3100,0,0,0,1.0,141813.3962606645,0.36448513263495963,7633,7,48.87417839093198
32,100,0,0.7045439999999998,22.56425599999998,100,100,0,0,0,0,3200,3200,3200,0,0,0,1.0,141817.21746110322,0.3642976506858116,7879,7,48.837798409085174
33,100,0,0.7045439999999998,23.268799999999978,100,100,0,0,0,0,3300,3300,3300,0,0,0,1.0,141820.80726122548,0.3641614536832762,8125,7,48.8023081850176
34,100,0,0.7102719999999998,23.979071999999977,100,100,0,0,0,0,3400,3400,3400,0,0,0,1.0,141790.30781508156,0.3641370330205289,8373,9,48.765509464541736
35,100,0,0.7045439999999998,24.683615999999976,100,100,0,0,0,0,3500,3500,3500,0,0,0,1.0,141794.45993650216,0.3639248329359116,8619,9,48.729800691580344
36,100,0,0.7045439999999998,25.388159999999974,100,100,0,0,0,0,3600,3600,3600,0,0,0,1.0,141798.38160780474,0.3637610173420575,8865,9,48.6935556804332
37,100,0,0.7045439999999997,26.092703999999973,100,100,0,0,0,0,3700,3700,3700,0,0,0,1.0,141802.09149653497,0.36364166309717727,9111,9,48.65801901405536
38,100,0,0.7045439999999998,26.79724799999997,100,100,0,0,0,0,3800,3800,3800,0,0,0,1.0,141805.60630703587,0.3634125232908783,9357,9,48.62163235253378
