method,correlation,n,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,effective_bits_mean,effective_bits_sd,compressed_bits_mean,compressed_bits_sd,raw_selected_bits_mean,raw_selected_bits_sd,mean_selected_hops_mean,mean_selected_hops_sd,mean_selected_etx_mean,mean_selected_etx_sd,compression_saving_mean,compression_saving_sd,energy_j_mean,energy_j_sd,min_residual_energy_j_mean,min_residual_energy_j_sd,participation_jain_mean,participation_jain_sd,representation_js_mean,representation_js_sd,class_coverage_js_mean,class_coverage_js_sd,mean_route_cost_mean,mean_route_cost_sd,mean_route_hops_mean,mean_route_hops_sd,max_relay_queue_mean,max_relay_queue_sd,max_relay_energy_j_mean,max_relay_energy_j_sd
random,0.0,3,0.9500000000000001,0.015394804318340605,0.9496461035303795,0.015706989389257676,2039604.5673010244,181772.9575348159,748800.0,0.0,1463040.0,0.0,1.3847222222222222,0.06042863866057526,2.723830885818675,0.24275234713516747,0.4856003085967644,0.006713326331672539,7.393609134279255,0.28807038870990004,8.356709230943741,0.11103058044787806,0.9187047218170591,0.021427934175750864,0.047188631214311695,0.015140742958170451,0.0010631348795323563,0.0006027053379711232,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.2640449791532565,0.1306781124858343,0.42004497915325656,0.1302761141083257
resource,0.0,3,0.9486666666666667,0.018610033136277102,0.9481513067775315,0.019078573628032388,1610563.653458508,135817.79983839297,748800.0,0.0,1463040.0,0.0,1.173611111111111,0.04865077746704715,2.1508595799392434,0.18138060875853426,0.5936649078563192,0.009095476824047342,6.465666422169935,0.22824519622873812,8.40454022174062,0.22826449119616277,0.77817543335011,0.07541265793538533,0.10473090496304711,0.039438594698459395,0.0023637375443836916,0.0012412997282129346,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.014731713298667043,0.009064785757417825,0.1386408495002416,0.030953474287876166
utility,0.0,3,0.9436666666666667,0.015044378795195632,0.9431855177011298,0.015502369013471505,2085977.8079275386,294335.5852370393,748800.0,0.0,1463040.0,0.0,1.4027777777777777,0.19800801985254526,2.7857609614416883,0.39307636917339434,0.47567493452054893,0.02072152871542493,7.455786837070517,0.610800832443918,8.434307165211424,0.1298274901328639,0.6117415479419807,0.07281736183499105,0.08216444965136564,0.021450587921218848,0.01848072253625675,0.012828550492551901,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.3706215571846904,0.20870872721028877,0.5186215571846905,0.21856377486984688
proposed,0.0,3,0.9460000000000001,0.017349351572897426,0.9455722358961207,0.017677548691516328,645273.4291357248,92191.05101576724,246144.0,5587.826768968415,1463040.0,0.0,1.3499999999999999,0.15416666666666667,2.646665789819576,0.3541223707855637,0.8378219053943831,0.00687800333890296,4.945363481686811,0.17961039754539415,8.465800780657167,0.12795957612297956,0.8058843416840924,0.03291085835508011,0.017683658347317586,0.00932147246000321,0.005594818039236946,0.0026848705358972127,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.011300879586827989,0.017420926986940536,0.12920764429229084,0.04186353607052392
random,0.5,3,0.9566666666666667,0.013650396819628858,0.9564534056118476,0.013618004031126969,2044637.4700893753,231864.83121388825,748800.0,0.0,1463040.0,0.0,1.3777777777777775,0.10427771858164431,2.7305521769355927,0.309648545958714,0.48513725643124267,0.008485972106786033,7.39680024040337,0.43503206331424976,8.36333925150989,0.20079555885038416,0.924430526238809,0.015226158481985592,0.057830632029827224,0.006194733632445489,0.000724393826548048,0.00046902812464339724,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.2222776204292063,0.11113489987335753,0.3769442870958731,0.11257349175573395
resource,0.5,3,0.9523333333333333,0.009504384952922176,0.9520857049048187,0.00946122472587379,1617994.9233389164,127709.82685700481,748800.0,0.0,1463040.0,0.0,1.1777777777777778,0.04738533919231101,2.1607838185615837,0.17055265338809011,0.5916349230079402,0.01153748974184142,6.481973018197627,0.21437007039230138,8.399866631132419,0.23281434939916926,0.7823774383414069,0.08259392156272699,0.135625464868452,0.05296451394659671,0.011662067483193676,0.009964123574784756,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.015448532388922619,0.0029870028334765424,0.14054731609730978,0.01967571604068173
utility,0.5,3,0.9553333333333333,0.013316656236958798,0.9553264269779483,0.01318395280782347,2098666.3926102202,164633.545801139,748800.0,0.0,1463040.0,0.0,1.3902777777777777,0.021381672664362035,2.8027061867123653,0.21986317548228645,0.46996388990832694,0.02809655086574017,7.500004087855747,0.24326182735453086,8.309532076247573,0.06150986233485296,0.6374887311777357,0.04430151421619624,0.07739033677851981,0.01856581144456243,0.018214498451590937,0.012376345051149156,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.26056147039607364,0.12682345304363912,0.41656147039607383,0.1330634464396872
proposed,0.5,3,0.9543333333333334,0.013279056191361405,0.9543419097116,0.01298443450945269,638257.3903664702,59401.3247199509,242624.0,1219.3637685284896,1463040.0,0.0,1.3444444444444443,0.05023094811118084,2.6345404357560365,0.2492209988751846,0.8390677363664424,0.0017121130460290312,4.940228738379981,0.0978253469778774,8.4837782852157,0.0837601189566259,0.8003271539980533,0.03182704339326903,0.021059319588284,0.011318221637894208,0.00980918124196576,0.006555109350343694,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.0031618572924905965,0.002534735578202521,0.10734596075178221,0.03014343193981683
random,0.9,3,0.9486666666666667,0.017039170558842694,0.9484360932420772,0.016886552531236863,2057370.7980992661,186186.40172643197,748800.0,0.0,1463040.0,0.0,1.3888888888888886,0.0667100553251268,2.74755715558128,0.24864636982696317,0.48117261178563847,0.005491466824155257,7.42186978484031,0.29960552305302074,8.382369823781696,0.1335486391752912,0.9325019644743252,0.011914316902983545,0.0624886679219776,0.023381429873507577,0.0012649958292684851,0.0018658384398773976,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.23864800403350017,0.07624860960719292,0.3984660283637129,0.07627417444389135
resource,0.9,3,0.9470000000000001,0.017320508075688724,0.946801716641481,0.01707033735203071,1620556.2102673168,150407.8586086997,748800.0,0.0,1463040.0,0.0,1.1791666666666665,0.05788518328937411,2.1642043406347677,0.20086519579152884,0.5912437951468655,0.015444461664743322,6.488662522620385,0.26525164667799267,8.430667833966597,0.2653183189213403,0.784035134135876,0.07812646219168794,0.08896815589219705,0.032952175419510614,0.007641403690017701,0.0027084082305256817,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.015857244219232316,0.00697510244248689,0.14363008798054633,0.018345749046612278
utility,0.9,3,0.9500000000000001,0.013228756555322902,0.9499226325800777,0.0130881207342078,1813686.793251523,353610.0916793296,748800.0,0.0,1463040.0,0.0,1.2597222222222222,0.14591267682850342,2.422124456799572,0.47223569935807685,0.5450506351134056,0.05596161756326109,6.88283880657471,0.676469053167927,8.349896457718643,0.15916371035973592,0.5935127026022454,0.057834077814889556,0.07189198465153568,0.01006194881295359,0.0281572854824971,0.01850678059632841,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.16383261418989825,0.19885614381142855,0.3088482690937145,0.20901604241789432
proposed,0.9,3,0.9496666666666668,0.015947831618540867,0.9495511161850524,0.01591966164768228,572766.30891887,96892.19920971419,245616.0,3233.1483108573907,1463040.0,0.0,1.2541666666666667,0.12990381056766573,2.350868290260276,0.3871066547504853,0.8560394672435981,0.01572571807041057,4.800281831617181,0.186430844906137,8.484128062052918,0.1956052778506138,0.7262604843455129,0.09059154241379677,0.02389004054515954,0.012999840834942681,0.01872652391383495,0.013207580029660363,2.712341918326903,0.27547700036338857,1.375,0.08333333333333326,0.0007557628819723777,0.0006628615559844448,0.08178395834799253,0.0324995717199702
