method,correlation,n,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,effective_bits_mean,effective_bits_sd,compressed_bits_mean,compressed_bits_sd,raw_selected_bits_mean,raw_selected_bits_sd,mean_selected_hops_mean,mean_selected_hops_sd,mean_selected_etx_mean,mean_selected_etx_sd,compression_saving_mean,compression_saving_sd,energy_j_mean,energy_j_sd,min_residual_energy_j_mean,min_residual_energy_j_sd,participation_jain_mean,participation_jain_sd,utility_target_js_mean,utility_target_js_sd,class_coverage_js_mean,class_coverage_js_sd,mean_route_cost_mean,mean_route_cost_sd,mean_route_hops_mean,mean_route_hops_sd,max_relay_queue_mean,max_relay_queue_sd,max_relay_energy_j_mean,max_relay_energy_j_sd
random,0.0,10,0.9368000000000001,0.016923356641044905,0.9359450680077132,0.017426376219651516,1819424.2489731244,126105.73638677044,748800.0,0.0,1463040.0,0.0,1.27125,0.07714149457448428,2.429786657282485,0.16841043855070983,0.48540891806940023,0.010149912862766591,6.881971339594432,0.2602260387714381,8.335430655236236,0.24156567840219723,0.924746549037344,0.023541770658821327,0.04211722379489034,0.005779667595579045,0.0005928354418679269,0.000376510685104758,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.18740784778265346,0.09181576995508764,0.3381090769828519,0.10036669118161061
resource,0.0,10,0.9390000000000001,0.018956089610817205,0.9380607774648588,0.019531255029877913,1474838.5241241094,94023.13118897582,748800.0,0.0,1463040.0,0.0,1.1029166666666668,0.03788638391849703,1.9696027298666,0.125565079045108,0.5825945202542075,0.01381671239648335,6.1679649993837655,0.17104497460325405,8.479952898674075,0.17594002760655153,0.8079248044078376,0.04847149491243768,0.07323966851438478,0.021062886714447768,0.0017033642700185262,0.000879820246859045,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.009868108080023889,0.008041467565659823,0.11649416893049214,0.028624198817560325
utility,0.0,10,0.9353,0.017613441836657934,0.9344615340899776,0.018031899979551874,1798148.0126611392,196470.60488847233,748800.0,0.0,1463040.0,0.0,1.2570833333333333,0.10788815224602623,2.401372880156435,0.26238061550276726,0.4916264584187534,0.042309739063971855,6.832020037465251,0.4090926060416691,8.279598176933488,0.2310071292250919,0.6204015583538645,0.0723432296296427,0.06494902797236077,0.017425519049592577,0.007909642581376808,0.008654657123526178,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.23030263566582954,0.1376417627260879,0.3785577065296838,0.15077509330853975
proposed,0.0,10,0.9371,0.017051881616603645,0.9362729844366132,0.017431847361081037,554726.7869190362,55350.15570869997,242462.4,1217.6935575094417,1463040.0,0.0,1.22,0.08556727913904509,2.2900361388303043,0.22702184307962545,0.8432878169751016,0.00869132258236359,4.7552075192652605,0.11224926948780746,8.488811684823563,0.19185398974095808,0.8087815884637195,0.0592716870521795,0.006868569813714387,0.002719329104637991,0.00407024247431394,0.0038835992102473644,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.0015608189807224172,0.003017195973117208,0.09035358271783107,0.0311098380100922
random,0.5,10,0.9454,0.019132288008611078,0.9449882436519846,0.019382107830601913,1814115.7363999556,131592.01387395692,748800.0,0.0,1463040.0,0.0,1.2641666666666667,0.08804284871513722,2.4226972975426766,0.17573719801543505,0.48703177340747894,0.008645189014702747,6.87551507331779,0.2831687553132744,8.340013987254379,0.19888221159680902,0.9322448797995998,0.016811098938711664,0.045449043674589865,0.006735074275170239,0.0007752399785975618,0.0002964720499797079,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.1671083232171375,0.07660111499831095,0.31985139207910107,0.08306967451396124
resource,0.5,10,0.9467000000000001,0.01885647545716499,0.9460903376307123,0.019303535280282117,1473174.2538611481,92410.10065492113,748800.0,0.0,1463040.0,0.0,1.1020833333333333,0.03623110405762659,1.967380146716278,0.12341092501992802,0.5829469981675321,0.016711215049054613,6.16431327617215,0.1660853742797183,8.480687883506643,0.1740509292453024,0.8069229500045717,0.05530724573433964,0.07850648651725958,0.02703368886632126,0.005110319641900075,0.0034227069871614144,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.008620712617342544,0.0065571877150351985,0.11495999916311635,0.031360506928203795
utility,0.5,10,0.9439,0.020046889478863714,0.9436499177037365,0.020026012980174063,1815409.1691247826,111209.84166681419,748800.0,0.0,1463040.0,0.0,1.2695833333333333,0.06120731064622274,2.42442463825425,0.1485174167558966,0.48577382280130993,0.026889135008123476,6.887294546260774,0.220878925580775,8.243837803399702,0.18189013802967113,0.6397785541387744,0.07151013320755369,0.05188979597115624,0.0180011430031522,0.010235960316203562,0.00578867298464512,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.20539098055579125,0.07055336957803586,0.360190094107156,0.07620092914589557
proposed,0.5,10,0.9449,0.01729771982404358,0.9445245788139868,0.017447569359939182,559667.1371713115,37597.90182937273,244531.2,4825.648806119235,1463040.0,0.0,1.2275,0.05686647779049006,2.2999810957837963,0.14344049296140798,0.8416523092646022,0.004951378673204619,4.767506573610166,0.0730419523341844,8.449979298246529,0.12354379042314206,0.788573903914038,0.047907131294605346,0.005946480188730308,0.0012259742022526147,0.006375362330127349,0.004289027350799376,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.0006717872602386584,0.0005403995769763506,0.09026487152817934,0.01646767814247245
random,0.9,10,0.9390000000000001,0.024935472279020033,0.938297042877694,0.025604389813582734,1804273.3947962925,127297.74614744089,748800.0,0.0,1463040.0,0.0,1.2608333333333333,0.08259394202518278,2.4095531447600074,0.1700023319276736,0.48977591426372935,0.007739634889233116,6.857808443722585,0.27191448091744025,8.340033376170028,0.23870149766053136,0.9337286577841557,0.0235781336999101,0.055529673272916844,0.01653043214941058,0.000737922817048321,0.0004115988493741652,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.17122541713480463,0.09243057064845858,0.32399776749827425,0.10069652724857196
resource,0.9,10,0.9411999999999999,0.023083423585864446,0.9406010875029217,0.023790913892542162,1468271.4298306957,81688.66911818046,748800.0,0.0,1463040.0,0.0,1.0995833333333334,0.03570552141139042,1.9608325718892847,0.10909277392919525,0.5841931629767271,0.01640802704205506,6.153692768474184,0.14604063276156526,8.481338533450897,0.17349747617770406,0.802963371447604,0.05536264756128017,0.0668781503707369,0.02726508038318439,0.007275005652162811,0.00442930037990188,2.417824658154369,0.17831038936677146,1.2625,0.08110445178142463,0.012248937287813868,0.009010595076805896,0.11647363098295768,0.030715232076905484
