method,seed,correlation,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,compression_saving,energy_j,min_residual_energy_j,participation_jain,utility_target_js,class_coverage_js,mean_route_cost,mean_route_hops,max_relay_queue,max_relay_energy_j
random,53,0.0,0.956,0.9555972438686972,1755981.0484509794,748800.0,1463040.0,1.2625,2.3450601608586807,0.5015595591828272,6.785033125696382,8.479293090111634,0.9280742459396751,0.05075903410339714,0.0008281550028380988,2.4079660137861993,1.2916666666666667,0.2519785400314511,0.4119785400314512
random,59,0.0,0.916,0.9161471797202838,1607811.2691115853,748800.0,1463040.0,1.1791666666666667,2.147183852980214,0.48547034747270923,6.448874508864218,8.525207664044279,0.9471191791633781,0.03272082855890395,3.158346831439482e-05,2.1358387418502507,1.1666666666666667,0.15980583457440045,0.3149126596604607
random,61,0.0,0.926,0.9221931767358804,1826446.9689051567,748800.0,1463040.0,1.3541666666666667,2.439165289670345,0.4980121346646317,6.9496463809996865,8.016109310367076,0.913937547600914,0.039854575486929666,0.0012688717187237758,2.4868961381278054,1.375,0.29366712720008736,0.4536671272000875
random,67,0.0,0.939,0.9378143589742096,1742830.8504879086,748800.0,1463040.0,1.1291666666666667,2.327498464860988,0.4766674381968915,6.616162589557505,8.664840243684825,0.9022556390977443,0.050133035467046755,0.0004895274288420469,2.2762569324463744,1.125,0.12918818610628338,0.2771881861062835
random,71,0.0,0.925,0.9236852219420362,2020476.4167481055,748800.0,1463040.0,1.3625,2.6982858129648886,0.48598449190741877,7.308797039985371,8.298093724680374,0.970873786407767,0.038186033123151955,0.0003855182038711032,2.686713537268736,1.3333333333333333,0.057190158330005236,0.18258938969586463
random,73,0.0,0.952,0.95119434972274,1712994.3956599024,748800.0,1463040.0,1.2333333333333334,2.287652771981707,0.47014497231434815,6.738903785560549,8.147092113542648,0.913937547600914,0.04323899777363683,0.0005763539037729856,2.209747658777339,1.2083333333333333,0.11387739381974632,0.2443836293698105
random,79,0.0,0.954,0.9540374403489416,1797105.1890374485,748800.0,1463040.0,1.25,2.399980220402576,0.4778413701465256,6.820575330683487,8.16626808838043,0.9036144578313253,0.04115490049420533,0.0010967120722824436,2.3524198644798773,1.2083333333333333,0.10060116480136534,0.26060116480136536
random,83,0.0,0.914,0.9126456421719951,1995045.5666140695,748800.0,1463040.0,1.35,2.664323673362808,0.4842554522568904,7.216633412627311,8.338980363718496,0.9411764705882353,0.04733748908089416,0.000595546990939393,2.6440031843118774,1.3333333333333333,0.25964287311189926,0.4156428731118994
random,89,0.0,0.957,0.9573477263210581,1885622.0853123348,748800.0,1463040.0,1.3083333333333333,2.5181918874363487,0.4789034451558518,7.013327519370986,8.049879240085652,0.8955223880597015,0.040038798271788356,0.0003419107054781796,2.4733196863506457,1.2916666666666667,0.33234756899002466,0.48834756899002474
random,97,0.0,0.929,0.9287883402712893,1849928.699403752,748800.0,1463040.0,1.2833333333333334,2.4705244383062928,0.49524996939590804,6.921759702598824,8.668542713746948,0.9309542280837859,0.03774854558894927,0.0003141749236168472,2.5050848241445878,1.2916666666666667,0.1757796308612716,0.33177963086127166
