method,correlation,n,clients,rmse_c_mean,rmse_c_sd,rmse_c_ci95,mae_c_mean,mae_c_sd,mae_c_ci95,worst_client_rmse_c_mean,worst_client_rmse_c_sd,worst_client_rmse_c_ci95,p90_client_rmse_c_mean,p90_client_rmse_c_sd,p90_client_rmse_c_ci95,client_rmse_sd_c_mean,client_rmse_sd_c_sd,client_rmse_sd_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,compressed_bits_mean,compressed_bits_sd,compressed_bits_ci95,raw_selected_bits_mean,raw_selected_bits_sd,raw_selected_bits_ci95,mean_selected_hops_mean,mean_selected_hops_sd,mean_selected_hops_ci95,mean_selected_etx_mean,mean_selected_etx_sd,mean_selected_etx_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,min_residual_energy_j_mean,min_residual_energy_j_sd,min_residual_energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,temperature_coverage_js_mean,temperature_coverage_js_sd,temperature_coverage_js_ci95
random,0.0,10,48,1.7395617384457362,0.005213936043117001,0.0032316310402563386,0.8034752492477499,0.01620582745203141,0.010044475918756067,8.630919046165577,0.00552946442802614,0.0034271975593547863,1.9707719093679383,0.0023000422748680064,0.0014255809714385592,1.4281150795301816,0.004887554091902539,0.0030293374110668377,2545952.583583818,67637.73993816777,41922.30554218631,504000.0,0.0,0.0,964800.0,0.0,0.0,1.6193333333333335,0.032500712242907785,0.02014415014800041,5.0514932213964645,0.13420186495668315,0.08317917766306875,7.055690942242724,0.15556680185778426,0.09642130274702752,8.346697870596984,0.09340226812628723,0.05789132555734377,0.2692209682868336,0.026238448914868817,0.016262759124827948,0.8931763891407047,0.022098111846179314,0.013696551622922713,0.05778642941671004,0.010315949009927243,0.00639389143911569,0.00011065800123379612,5.6217735982671e-05,3.484411375823593e-05
resource,0.0,10,48,1.7460958086431664,0.0034929926258387652,0.0021649792593732716,0.828551465390747,0.009811571807869917,0.006081275210476323,8.611732063522506,0.0036369378149562243,0.0022541974119169024,1.9733971154233054,0.0013506935584665012,0.000837168540871702,1.4201952320031512,0.0030161669826441672,0.001869439663836411,2240671.303625675,23039.91055779348,14280.284512040827,504000.0,0.0,0.0,964800.0,0.0,0.0,1.48,0.014142135623730945,0.008765386471799171,4.4457763960826915,0.04571410824959051,0.028333897841351017,6.353543998339005,0.052991794282925116,0.032844654377693974,8.41336436052411,0.044952177049884884,0.027861647991113795,0.13755474639891418,0.008704080215349505,0.0053948448097934105,0.7058287336364695,0.015490769598592807,0.009601278469527323,0.1032749299781377,0.009962876723876832,0.006175054969005739,0.0009636856273969533,0.00015318631968777807,9.494586461204614e-05
utility,0.0,10,48,1.7309996082882204,0.0023129218585139894,0.0014335638200872077,0.785085128739319,0.009517555075145158,0.005899041751536527,8.624774830907565,0.002671567034354706,0.0016558544030749064,1.9756954471440316,0.0012730326360412987,0.0007890338024612578,1.4328531380295313,0.003244963037956144,0.0020112489281081626,2669253.6471329695,30516.07081112949,18914.056644421624,504000.0,0.0,0.0,964800.0,0.0,0.0,1.611,0.01918396964546244,0.011890347574066058,5.296138188755894,0.06054775954589076,0.03752789016750255,7.339283388405778,0.0701869628655964,0.043502330282168857,8.345208805307648,0.108415342583358,0.0671965255106875,0.30826997751194196,0.012857941421506742,0.007969434658944946,0.4966058092454463,0.014171390725299412,0.008783518971609812,0.05401058300243693,0.0035344396287951777,0.0021906683779531508,0.0054294340027895285,0.0003230059392736842,0.0002002011553099076
random_adaptive,0.0,10,48,1.7517306039380363,0.007064123263177893,0.004378388960029347,0.8186720864433867,0.020123778339154682,0.012472847037297478,8.640300760270959,0.012582616281225194,0.007798786369027514,1.9852563939894554,0.05727856469291644,0.03550162220484411,1.428928991768578,0.007265071507010421,0.004502937971924395,957549.4440193536,32992.484327826634,20448.95364409494,196742.4,3507.8189234907777,2174.1686938634725,964800.0,0.0,0.0,1.6053333333333335,0.04070975252463819,0.025232166028090735,5.051206816441531,0.1342497792068748,0.08320887522301376,3.4023637212445146,0.07588271395400098,0.04703259338141819,8.468218248626425,0.029837773316914125,0.018493643501892157,0.09550487879535832,0.008389421479659855,0.005199817304865561,0.8931763891407047,0.022098111846179314,0.013696551622922713,0.04421505072875992,0.010135169227990477,0.0062818429694132556,0.00011065800123379612,5.6217735982671e-05,3.484411375823593e-05
resource_adaptive,0.0,10,48,1.7268901355147943,0.006910691548245215,0.004283290997868733,0.7576980854257114,0.020587516020740965,0.012760274630186561,8.625223580750868,0.010165357508488373,0.006300553859516665,1.9719252487340715,0.0023608647256657747,0.0014632791170078759,1.4417080673099127,0.004825645617385221,0.002990966141022359,912216.9900748085,18764.17686543612,11630.157313351325,182995.2,5128.552856313368,3178.709992796449,964800.0,0.0,0.0,1.6566666666666667,0.013788526273323188,0.008546217125751836,4.969110785014622,0.04289442230990721,0.02658623838962375,3.2980990771720613,0.043157606790502984,0.026749361820707987,8.481414529245878,0.022885631181107775,0.014184661163682518,0.09279430156385121,0.005023235697379511,0.003113433741406377,0.8251074661738643,0.007496868736794941,0.004646607383405951,0.07927263324502812,0.005433394188348568,0.003367652607897862,0.0003702981849121564,8.39512466152212e-05,5.203352173606165e-05
utility_adaptive,0.0,10,48,1.746210408479722,0.009429267991882657,0.005844320850404371,0.810246182101122,0.022112435725247497,0.013705429655148428,8.639898715862303,0.007702322292990638,0.004773948816834071,1.970781881416657,0.001830750098662873,0.001134710667117121,1.430285001282358,0.0049619225819689,0.0030754314787592696,1044807.0187473111,27171.043138050987,16840.787012910274,212558.4,3503.674870760699,2171.6001833707787,964800.0,0.0,0.0,1.6079999999999999,0.038012343674192726,0.023560294701462325,5.148667916611479,0.12002833835362445,0.07439433486070841,3.6030561431188133,0.06249339921751732,0.03873381012969366,8.474911134673928,0.03687802944698059,0.022857239459558802,0.11428891062476147,0.005417800704052026,0.0033579876661989747,0.5162220312330971,0.012341638601706539,0.007649426855849466,0.04384039824122143,0.004401505202820105,0.00272808118850261,0.006105997166696197,0.0005211782252329531,0.0003230296106895928
proposed_fixed_comp,0.0,10,48,1.7363077150678865,0.004148438608940877,0.0025712288885762096,0.8029135457802763,0.00989912621853734,0.006135541996429272,8.612769998490545,0.002623107979937343,0.0016258191699723918,1.975445235646479,0.0012420890847174907,0.0007698547906500575,1.4274180565515633,0.002057150281454876,0.0012750349542161542,2379558.8742679055,24801.884188121043,15372.367082442992,504000.0,0.0,0.0,964800.0,0.0,0.0,1.4449999999999998,0.01847587683146211,0.011451467101006413,4.721346972753783,0.049210087674842966,0.030500728338180308,6.672985410816136,0.05704433363267955,0.03535644428961959,8.389141422564643,0.057351050909472054,0.03554654962732776,0.1393967105062175,0.011167796578137178,0.006921872031940221,0.6217411312476168,0.01349985806775538,0.008367298718288913,0.03173311305396562,0.004399767567742719,0.0027270041911236086,0.003590125683781662,0.00035726983725329844,0.00022143813929962724
fedcg_adapted,0.0,10,48,1.733605254325471,0.003402267261933899,0.0021087470962418186,0.7822796119871395,0.01006360837170278,0.0062374890911657595,8.628962810287955,0.006227685686295094,0.003859959578782986,1.9721903324223526,0.0011680467164383677,0.0007239628553355116,1.4353102257977661,0.0029983734383286424,0.0018584111108103077,993913.2563442545,10196.415597282845,6319.803862387672,202651.2,1457.5727769137293,903.4129667787595,964800.0,0.0,0.0,1.69,0.012570787221094181,0.007791454641599269,5.059416165783556,0.04202096076145101,0.026044861313050716,3.486000489591787,0.023451755873750778,0.014535548883491792,8.477596788386506,0.023552489556609425,0.014597984266978148,0.10211214337516143,0.003332841465843355,0.0020657165420145777,0.8233244169125259,0.00902976261485568,0.005596704852342018,0.09034171377149344,0.0042381330464267555,0.00262682207689319,0.00032870136767677063,3.697418712383055e-05,2.291683860513664e-05
proposed,0.0,10,48,1.7369427614173403,0.005017174442993632,0.0031096769370163127,0.7844294810359645,0.011159734217035085,0.006916874928757555,8.641463706047263,0.007281263111633281,0.004512973632442301,1.9691171467613047,0.0019761959593858746,0.0012248589455582698,1.4367059646401434,0.002603755857586942,0.0016138246002720305,1020829.5335712346,30630.336005453493,18984.87894560536,209385.6,4767.076420616729,2954.664576769417,964800.0,0.0,0.0,1.5633333333333332,0.019499920860871395,0.01208617616622345,5.033232451799231,0.07011584004310055,0.04345824790007832,3.547907927213837,0.07044977281254279,0.04366522157489218,8.475023936915928,0.024743245991719624,0.015336022751774488,0.09772805113237518,0.0022279798319046746,0.0013809162065486192,0.6208158459279554,0.019286393277276104,0.011953830398766558,0.015810523722982067,0.002339233210097536,0.001449871764754219,0.004474285285607534,0.00048802985838491926,0.0003024840400584905
random,0.5,10,48,1.7414353329975192,0.004387160556413089,0.0027191902845469297,0.8095366514621759,0.015380103795067863,0.009532687093873947,8.630200154230348,0.006314462459489415,0.00391374438003659,1.9714070189374513,0.0019836450079915367,0.0012294759137173278,1.4264466386133219,0.004894150437041123,0.0030334258681414565,2578950.71935179,50155.05691158672,31086.42633913293,504000.0,0.0,0.0,964800.0,0.0,0.0,1.638,0.040679415123804505,0.025213362712245647,5.116965712999585,0.0995140018087019,0.061679417339548286,7.131586654509059,0.11535663089665134,0.07149878058000692,7.27618509697353,0.17407083892535505,0.10789022374320204,0.2526410324457961,0.022956948441696937,0.01422886405975184,0.8889541928266873,0.01802210863643206,0.011170218659902873,0.06265574375590623,0.006799699976703402,0.0042144977091066165,0.0001324247964546559,7.017580897797277e-05,4.349541703099622e-05
