baseline,metric,n,proposed_minus_baseline_mean,percent_change_vs_baseline,exact_signflip_p
random,rmse_c,10,0.00359063316738939,0.20657903810912698,0.34375
random,mae_c,10,-0.005208247494180795,-0.6493612376581172,0.46484375
random,effective_bits,10,-1532852.1752286176,-60.93657164561771,0.001953125
random,energy_j,10,-3.5255600030257677,-50.468802177640086,0.001953125
random,max_relay_energy_j,10,-0.1760319357024212,-64.33947035106503,0.001953125
random,representation_js,10,-0.05177519112019664,-69.11166144215987,0.001953125
resource,rmse_c,10,-0.0033358474368492042,-0.1911587449538054,0.224609375
resource,mae_c,10,-0.03282191366700064,-3.9560169583257365,0.001953125
resource,effective_bits,10,-1233898.2159406375,-55.66791070271115,0.001953125
resource,energy_j,10,-2.837965896663422,-45.06117973662169,0.001953125
resource,max_relay_energy_j,10,-0.04169974105762442,-29.942411266905292,0.001953125
resource,representation_js,10,-0.09999257875536828,-81.20719290908187,0.001953125
utility,rmse_c,10,0.012430001395678136,0.718787711780104,0.001953125
utility,mae_c,10,0.01827834825394046,2.347680738238217,0.013671875
utility,effective_bits,10,-1709684.1007171862,-63.502262694940114,0.001953125
utility,energy_j,10,-3.9322734316494774,-53.19392228453339,0.001953125
utility,max_relay_energy_j,10,-0.2160152959445682,-68.88637566475303,0.001953125
utility,representation_js,10,-0.032970412348020436,-58.759794788663,0.001953125
