method,seed,correlation,clients,rmse_c,mae_c,worst_client_rmse_c,p90_client_rmse_c,client_rmse_sd_c,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,temperature_coverage_js
random,53,0.0,48,1.7436172378524801,0.8258131575165695,8.620575616316595,1.9750094281919623,1.4197849456575897,2476752.9444772545,504000.0,964800.0,1.5766666666666667,4.914192350153283,6.896531772297627,8.44117304855789,0.25427395404253095,0.8680555555555556,0.05980188771242636,0.00014824898260176522
random,59,0.0,48,1.741026194063941,0.7996661570895354,8.640155233252772,1.966820807311201,1.4304112560641546,2637416.260229003,504000.0,964800.0,1.6666666666666667,5.2329687702956384,7.266057398526644,8.299537879238294,0.26701413954444636,0.8664510166358595,0.06209566305043241,0.00018031213490442977
random,61,0.0,48,1.7347019883150983,0.7910474898464336,8.63565200971383,1.9723018955813434,1.4310478194744773,2591789.1186996903,504000.0,964800.0,1.6133333333333333,5.142438727578751,7.161114973009234,8.394275826857656,0.2762130646452728,0.9014423076923077,0.05749549661940126,7.140308415519599e-05
random,67,0.0,48,1.7381790692423684,0.8007597744620983,8.631554107636315,1.9706299910065426,1.4283586382155955,2510545.37589025,504000.0,964800.0,1.6133333333333333,4.981240825179065,6.974254364547517,8.418154436657382,0.28410463147854553,0.8737185461323392,0.06318870502940538,5.441193354059463e-05
random,71,0.0,48,1.7302220096771834,0.775088622868251,8.633353298182318,1.969354182499103,1.4359895021200715,2579922.7013817956,504000.0,964800.0,1.6466666666666667,5.118894248773406,7.133822213178076,8.205458572912047,0.2639382269688332,0.9245562130177515,0.03983912507669645,3.629636619150677e-05
random,73,0.0,48,1.748558923559709,0.827651788081697,8.629665605096912,1.9719427630265933,1.4222303867988084,2494158.940727988,504000.0,964800.0,1.6333333333333333,4.948728056999973,6.936565563674316,8.32243622707241,0.25587905605932515,0.8844339622641509,0.07875753921740883,9.962371077600059e-05
random,79,0.0,48,1.7431107985534058,0.8107698796856193,8.624987361359272,1.9688657144824582,1.4273354971101266,2513254.332650452,504000.0,964800.0,1.59,4.986615739385819,6.980484965095982,8.384687194479977,0.22370281354250754,0.8794559099437148,0.05507113403290484,0.0002086467714075623
random,83,0.0,48,1.737789876528304,0.803203379319403,8.629454249985882,1.9725839121200162,1.4268971465151787,2565084.8511430244,504000.0,964800.0,1.58,5.089454069728233,7.0996951576289,8.228474089130717,0.2693162178307819,0.9245562130177515,0.046103373315774146,0.00013338022873612423
random,89,0.0,48,1.7420671732723902,0.8109955600940141,8.634479012928576,1.9706032931713178,1.42575061923952,2446831.617980197,504000.0,964800.0,1.61,4.854824638849597,6.8277127213544,8.488587253538372,0.3276919329490396,0.9119649805447471,0.057986711875726765,0.00010441660965892705
random,97,0.0,48,1.7363441133924824,0.7897566835138781,8.629313967183286,1.969607106288846,1.4333449841062926,2643769.6926585236,504000.0,964800.0,1.6633333333333333,5.245574787020884,7.280670293114544,8.284194177525096,0.270075645807053,0.8971291866028708,0.05752465823692392,6.98401903658547e-05
resource,53,0.0,48,1.7425448194391207,0.8222430354734954,8.613838242042283,1.9741469231955364,1.4209355837004374,2268010.125355899,504000.0,964800.0,1.5,4.500020089991864,6.416423288318521,8.456159147670517,0.15081063959921365,0.718941717791411,0.09696817234911417,0.0008268043882943088
resource,59,0.0,48,1.7467477225334123,0.827124903558063,8.615913954363565,1.972078673883911,1.4213684137473679,2264879.9416913954,504000.0,964800.0,1.49,4.493809408117853,6.409223865890162,8.392725609494157,0.13372477048918213,0.6970260223048327,0.10229712215275985,0.0011249947116376462
resource,61,0.0,48,1.747661623709558,0.8291846597774775,8.613568993985693,1.97238724698995,1.4210553725795383,2256579.3313659765,504000.0,964800.0,1.4833333333333334,4.477339943186464,6.3901324621416995,8.446797904268095,0.13372477048918213,0.7070135746606335,0.10198828629014797,0.0008259649640627298
resource,67,0.0,48,1.7416568309378815,0.8118755517465716,8.614560037563681,1.9710568779959918,1.4259199936686746,2253946.415473556,504000.0,964800.0,1.4833333333333334,4.472115903717377,6.384076755589129,8.376390224732258,0.13478424976957631,0.717291507268554,0.09525333567756028,0.0008317393086435944
resource,71,0.0,48,1.7475487955362239,0.8324998680923933,8.61692332344874,1.9728076128028076,1.4190274275135977,2197225.1975139612,504000.0,964800.0,1.46,4.359573804591194,6.253617954282063,8.330940871812402,0.15081063959921365,0.6858083394294074,0.10391527421806777,0.0011086446319258315
resource,73,0.0,48,1.740915230446288,0.8161377477905657,8.608320740941434,1.9733436852404307,1.4229905301689507,2247701.9061311544,504000.0,964800.0,1.4866666666666666,4.459726004228486,6.36971438410161,8.453511309908594,0.13372477048918213,0.7096896290688872,0.10985873240660549,0.0009100748697252978
resource,79,0.0,48,1.7452863843292106,0.8323958548195827,8.606643376382207,1.975237874505152,1.417426551345379,2226831.513943433,504000.0,964800.0,1.4666666666666666,4.418316495919512,6.321712482069852,8.402296699626236,0.13372477048918213,0.6985842026825634,0.1034714337776563,0.001217617154060652
resource,83,0.0,48,1.7516207970593656,0.8455779701685794,8.608368279971728,1.9752571438881859,1.4149688951837909,2216331.669309244,504000.0,964800.0,1.4566666666666668,4.39748347085168,6.297562839411212,8.428736414561692,0.12245229795405724,0.6833090379008746,0.1256835745040728,0.001090208560093247
resource,89,0.0,48,1.7472543815739783,0.8323600434092323,8.608962265277547,1.973664335411183,1.4190586620524033,2225877.43439592,504000.0,964800.0,1.4833333333333334,4.41642348094429,6.319518099110572,8.4704373337472,0.14350860332806567,0.7341425215348473,0.08790875090919682,0.0008473619754803411
resource,97,0.0,48,1.7497215008666238,0.8361150190715084,8.610221421248198,1.9739907803199068,1.4192008900713724,2249329.501076209,504000.0,964800.0,1.49,4.462955359278196,6.373457852475237,8.375648089419952,0.13828195178228675,0.7064807837226827,0.10540461749619545,0.000853445710045885
utility,53,0.0,48,1.7298586160266762,0.782899087783535,8.62193733412353,1.976122004429891,1.4331635488356542,2677219.949452858,504000.0,964800.0,1.6266666666666667,5.311944344152502,7.357605883741526,8.491108924499693,0.29904537772663425,0.4898119122257053,0.05553236127458765,0.005626718140552548
utility,59,0.0,48,1.7322875142041965,0.7866038226310593,8.623532379653634,1.9742390619448984,1.4333566451819373,2665274.125235561,504000.0,964800.0,1.6033333333333333,5.2882423119753215,7.33013048804174,8.340401634277717,0.2894041916596574,0.4997334754797441,0.051825971190533705,0.005347578486525938
utility,61,0.0,48,1.7285458822670183,0.7782285636059701,8.623848892336136,1.97577657751088,1.4345129446760798,2659320.1246109,504000.0,964800.0,1.6133333333333333,5.276428818672419,7.316436286605014,8.233355172397355,0.3099585148857615,0.471579476861167,0.06254504121781206,0.005811414518440191
utility,67,0.0,48,1.7300687046663537,0.7784114578729361,8.628800480316986,1.9747965187028853,1.4354433436304528,2717017.021108204,504000.0,964800.0,1.6333333333333333,5.390906787913104,7.449139148548814,8.4288159446133,0.30824571777445453,0.513136288998358,0.05151691035109948,0.0049735465491162895
utility,71,0.0,48,1.7354154796454697,0.8029887627813342,8.622778531390077,1.9775653265712492,1.4268961139738854,2674747.5045631984,504000.0,964800.0,1.6,5.3070386995301595,7.351919260495308,8.326952179801996,0.3002571621623683,0.5199667221297837,0.054413328607230256,0.005169685800858335
utility,73,0.0,48,1.7283934775629124,0.7776126308912976,8.623241433445758,1.975130947707051,1.4346279676572153,2697552.478564622,504000.0,964800.0,1.6333333333333333,5.352286663818695,7.40437070069858,8.323397551470492,0.32792510254635965,0.49290220820189273,0.05029692487720827,0.0049224577070583675
utility,79,0.0,48,1.7331246383194476,0.7943353136858813,8.622807292291464,1.9779034413363528,1.4298925627635375,2615138.761545188,504000.0,964800.0,1.58,5.188767384018235,7.214819151553884,8.478923324832808,0.2987621084085568,0.48524844720496896,0.05526588925158308,0.00577687077560768
utility,83,0.0,48,1.7321250598893356,0.7915528392940737,8.623986947719539,1.975421485432988,1.4303382349558234,2627521.972553081,504000.0,964800.0,1.5833333333333333,5.2133372471291315,7.243300536872036,8.193501504724356,0.3102417842038389,0.5075798592311858,0.05073272890567437,0.005485188364724244
utility,89,0.0,48,1.7285777999413658,0.7707003314230043,8.62798563284995,1.9740684501164467,1.4383653579722686,2689765.2718084166,504000.0,964800.0,1.6233333333333333,5.336835856762732,7.386460125159305,8.422145150016947,0.3082457177744545,0.49603174603174605,0.054066059437114844,0.005730922895361434
utility,97,0.0,48,1.7315989103594278,0.7875184774240981,8.628829384948588,1.9759306576876745,1.4319346606484595,2668979.261887666,504000.0,964800.0,1.6133333333333333,5.2955937735866385,7.338652302341578,8.21348666644182,0.33061409797733393,0.49006795608991116,0.053910614911525545,0.005449956789650257
random_adaptive,53,0.0,48,1.7514131088124019,0.8144867349864955,8.63797545860694,1.9650346462712318,1.4311410253706647,923577.4584582386,192816.0,964800.0,1.5366666666666666,4.9133740502820435,3.324228154453951,8.48954396804992,0.08717964138601059,0.8680555555555556,0.041299420854571375,0.00014824898260176522
random_adaptive,59,0.0,48,1.7567310977618182,0.8350919724809406,8.648866663982599,1.9670245533239343,1.422601696264278,994482.3609825071,197808.0,964800.0,1.6466666666666667,5.232559620360018,3.487309430259765,8.431392345414679,0.0989053435288303,0.8664510166358595,0.04772135715478684,0.00018031213490442977
random_adaptive,61,0.0,48,1.7383935441592748,0.7843301704252147,8.651588478991124,1.967630406520802,1.436666087876756,967046.1221189854,195408.0,964800.0,1.5933333333333333,5.1420295776431315,3.424206080873665,8.488558251651964,0.09751296284579421,0.9014423076923077,0.04360269513289698,7.140308415519599e-05
random_adaptive,67,0.0,48,1.7474430271169616,0.8043285288015926,8.642087083777904,1.9657459316968826,1.4326297016324006,944368.4156718643,194928.0,964800.0,1.6133333333333333,4.981240825179065,3.37204735604529,8.468366882549446,0.09740730222121557,0.8737185461323392,0.05213384616766091,5.441193354059463e-05
random_adaptive,71,0.0,48,1.7482499171013175,0.8109151622828878,8.631406165391061,1.9667071182100975,1.4321489875423106,983520.6581488556,198720.0,964800.0,1.64,5.118757865461533,3.462097513742371,8.456720584147341,0.09306505888326978,0.9245562130177515,0.02625856787398541,3.629636619150677e-05
random_adaptive,73,0.0,48,1.7481766853624712,0.8226841052984865,8.623942439948916,1.971522846221846,1.4252205103983462,960303.5494992838,203520.0,964800.0,1.6266666666666667,4.9485916736880995,3.408698163848356,8.483823166502717,0.08772996207748293,0.8844339622641509,0.06424327604995203,9.962371077600059e-05
random_adaptive,79,0.0,48,1.7634779527262165,0.8503588360439648,8.636828252340424,1.9673005776139592,1.4207633189984752,930234.0570296248,193968.0,964800.0,1.5633333333333332,4.986070206138325,3.3395383311681393,8.478095461026726,0.0833600766750977,0.8794559099437148,0.04926216490777714,0.0002086467714075623
random_adaptive,83,0.0,48,1.7531273979157682,0.8377673374672894,8.631499555761673,1.9702147281663303,1.4185537397296253,977439.8675423263,199728.0,964800.0,1.5666666666666667,5.0891813031044855,3.448111695347352,8.431908280264203,0.10236760369698054,0.9245562130177515,0.03624363888310644,0.00013338022873612423
random_adaptive,89,0.0,48,1.7596028164121627,0.8287329197837213,8.666920299131784,1.9632489427055484,1.4280900758697768,897366.4862535711,192240.0,964800.0,1.6033333333333333,4.854688255537724,3.263942918383213,8.520738761074343,0.11235151986824207,0.9119649805447471,0.04196216743580254,0.00010441660965892705
random_adaptive,97,0.0,48,1.7506904920119677,0.7980250968632739,8.631893204777164,2.148134189163922,1.4414747740031473,997155.4644882795,198288.0,964800.0,1.6633333333333333,5.245574787020884,3.493457568323043,8.433034785582917,0.09516931677065942,0.8971291866028708,0.03942337282705953,6.98401903658547e-05
resource_adaptive,53,0.0,48,1.7299860834375906,0.7525947731863192,8.640082640740824,1.9701621335992685,1.446677102353011,903684.0525331522,179616.0,964800.0,1.6566666666666667,4.981014800967461,3.278473320826251,8.48954396804992,0.08982505900875312,0.8370535714285714,0.07496548752338753,0.00026364017732376807
resource_adaptive,59,0.0,48,1.733193167857685,0.7759354010347754,8.634643687520283,1.9689302897439582,1.4383950012312576,911708.4523023049,184032.0,964800.0,1.66,4.971730436146042,3.2969294402953024,8.458372758971903,0.08459640548309377,0.8173496076721883,0.07809309815667614,0.0003157212179608931
resource_adaptive,61,0.0,48,1.7250057857861225,0.7511744352294067,8.6225837474279,1.9722333611580845,1.4433170879300918,907018.3039859565,181968.0,964800.0,1.65,4.941242553670378,3.286142099167701,8.513177983750781,0.09507580370362673,0.8166376306620209,0.07402587116130238,0.00043203120325266246
resource_adaptive,67,0.0,48,1.7208229129188568,0.7474172693625342,8.612856093506844,1.9760629470302056,1.4413685167467891,914686.3275285254,181968.0,964800.0,1.6666666666666667,4.994527328460839,3.3037785533156097,8.44939981034403,0.09546343295220862,0.8318544809228039,0.07720940972322887,0.00030580612502332074
resource_adaptive,71,0.0,48,1.7329348060368484,0.7806556152364966,8.615674674912983,1.9720269248007953,1.4359305675173948,898710.5169344995,182928.0,964800.0,1.6266666666666667,4.871030636615066,3.26703418894935,8.494073603099425,0.08890311771813333,0.8318544809228039,0.08086051172691083,0.00038689341205845227
resource_adaptive,73,0.0,48,1.7374987060486053,0.7917245404912939,8.628836756342356,1.972468228057945,1.4338033975004116,962654.1426508902,196704.0,964800.0,1.6666666666666667,4.994234803697118,3.4141045280970483,8.496427043706895,0.09225480712694753,0.8238137082601055,0.09000505710056948,0.0003492172682852831
resource_adaptive,79,0.0,48,1.7229509991014393,0.7435674162046959,8.6371936504394,1.973899486887381,1.4449487992113896,911601.7344963992,181056.0,964800.0,1.6633333333333333,5.018300764203897,3.2966839893417195,8.460357752071598,0.10256017470991816,0.8209281961471103,0.08121432404227627,0.0005456311623599793
resource_adaptive,83,0.0,48,1.7190659479511308,0.7434477240209719,8.61121003384606,1.9742295157703325,1.4420161195449348,894578.2428064665,178656.0,964800.0,1.6533333333333333,4.966583153604314,3.2575299584548745,8.486277044980516,0.0969196862848663,0.8296460176991151,0.08289681591473763,0.0004276884479376639
resource_adaptive,89,0.0,48,1.730586182885102,0.7665544179316072,8.621764545595013,1.9702225818975911,1.4409090899006598,909462.2331587638,183408.0,964800.0,1.6466666666666667,4.942979609243817,3.2917631362651574,8.50799068675658,0.0894901223898183,0.8267195767195767,0.07096571555723309,0.0002918794345206176
resource_adaptive,97,0.0,48,1.7168567631245608,0.7239092615590126,8.627389977177026,1.9690170183951519,1.4497149911631861,908065.894351128,179616.0,964800.0,1.6766666666666667,5.009463763537288,3.288551557007596,8.458524640727141,0.09285440626114623,0.8152173913043478,0.08249004154395903,0.0003844734003989235
utility_adaptive,53,0.0,48,1.7517344448028924,0.8227391105981878,8.638717961643865,1.9704808209537974,1.4289470664401787,1011177.887079251,208224.0,964800.0,1.5866666666666667,5.032560447485483,3.5257091402822747,8.50050322196064,0.11015881920754445,0.5191029900332226,0.036551063123318864,0.005287485004608813
utility_adaptive,59,0.0,48,1.73990965593524,0.7967520240290852,8.640939539558255,1.970678990027873,1.4332014942496492,1072665.6675626496,214128.0,964800.0,1.6266666666666667,5.279205576779993,3.667131035394092,8.474931832981133,0.11394902668805848,0.5182421227197347,0.04167753452927431,0.005747820464915563
utility_adaptive,61,0.0,48,1.7420095224785888,0.7991053326522014,8.638708913707038,1.9693701775998724,1.4324932147463783,1038518.5780886514,208944.0,964800.0,1.65,5.253083020225347,3.5885927296038957,8.485386179620335,0.12509687271073555,0.5037614185921547,0.049034795908110176,0.00720996991160138
utility_adaptive,67,0.0,48,1.7417541296612806,0.7925138861243858,8.654201660844878,1.9678570576055792,1.434552233872474,1052607.0132649392,212736.0,964800.0,1.5933333333333333,5.180977236565568,3.6209961305093605,8.462602490521935,0.110207379662072,0.5156765676567657,0.042192314568253314,0.006270645691944717
utility_adaptive,71,0.0,48,1.7483726210214277,0.8223447731083837,8.62793220631098,1.9730015356880473,1.4267648669011144,1011641.4158064709,212832.0,964800.0,1.5633333333333332,5.001335240114133,3.5267752563548798,8.465006808901375,0.10697884536937348,0.5086814975583288,0.048046060829739404,0.006132124776765764
utility_adaptive,73,0.0,48,1.739764473610949,0.7994592245940281,8.631707144760632,1.9728539940519711,1.4320306594656644,1085594.91345456,213504.0,964800.0,1.6866666666666668,5.35250818314735,3.6968683009454857,8.486175727552148,0.12152944164908651,0.5153930731170973,0.0491579350054304,0.006118577898057325
utility_adaptive,79,0.0,48,1.7510413547010624,0.8210532478850368,8.641188892421585,1.9698486557135437,1.4283102916541597,1024154.306248412,213936.0,964800.0,1.57,5.009220543260829,3.555554904371347,8.489617318613796,0.11292961157614918,0.49946723494938733,0.04545815331169612,0.0065162293697607065
utility_adaptive,83,0.0,48,1.74392617836473,0.8027040119836923,8.638243041883083,1.970914642302814,1.4332947690945934,1073325.4590714765,216144.0,964800.0,1.6,5.169931030768101,3.6686485558643955,8.44930282985484,0.115827209312027,0.5100652883569097,0.04598215067414538,0.006056447734624042
utility_adaptive,89,0.0,48,1.7351329564946594,0.7850300944391186,8.63726080479488,1.9734833444074573,1.4347841830968042,1022303.2568747574,207072.0,964800.0,1.5866666666666667,5.10812261762807,3.551297490811942,8.538944847778398,0.1125342102579022,0.5308607021517554,0.04195089218743122,0.005627701487747336
utility_adaptive,97,0.0,48,1.768458747726392,0.8607601155970993,8.650086992697833,1.969329595815615,1.4184712333025642,1056081.690021942,218064.0,964800.0,1.6166666666666667,5.099735270139918,3.628987887050463,8.396640088954683,0.1136776898146659,0.5409694171956145,0.03835308227481511,0.006092969326936322
proposed_fixed_comp,53,0.0,48,1.734559643174039,0.7977151039168949,8.61562714427327,1.976041304737278,1.4287697508831152,2393455.0045282524,504000.0,964800.0,1.45,4.74891865977828,6.704946510414936,8.430173646519789,0.1441369376132729,0.6115459882583171,0.032230604631491064,0.003884989216257424
proposed_fixed_comp,59,0.0,48,1.7388557092104546,0.8119675893581303,8.608220554302587,1.9752893043076405,1.424845480400926,2363987.4897576794,504000.0,964800.0,1.4233333333333333,4.690451368566826,6.637171226442612,8.367524851076997,0.13308216579510698,0.6095578673602081,0.037158024676716195,0.0033639052894766527
proposed_fixed_comp,61,0.0,48,1.7391944880719274,0.8086099199003545,8.609622803280132,1.9745517841811584,1.4270156823774685,2353272.3655205956,504000.0,964800.0,1.4233333333333333,4.669191201429758,6.612526440697323,8.375979820132802,0.12188575931790237,0.6060116354234001,0.03966785531846783,0.004089122539900645
proposed_fixed_comp,67,0.0,48,1.732017641830736,0.7934162019389636,8.611425093611013,1.9763423637837838,1.429089703859156,2337101.6620449987,504000.0,964800.0,1.42,4.637106472311508,6.575333822703449,8.387051732688176,0.13308216579510698,0.6403688524590164,0.033439828556307234,0.003015831126252449
proposed_fixed_comp,71,0.0,48,1.7367189258229887,0.8056467047389563,8.612567480391004,1.97539123448633,1.4261227828912666,2381331.749359807,504000.0,964800.0,1.4433333333333334,4.724864582063114,6.677063023527509,8.29890465595521,0.13308216579510698,0.6347325660121869,0.0321497525007207,0.003532034779602568
proposed_fixed_comp,73,0.0,48,1.7376793026206863,0.8050850435016703,8.616351253612024,1.9738348718910195,1.427234270866715,2414821.306693095,504000.0,964800.0,1.47,4.791312116454554,6.754089005394074,8.431853001543848,0.1551917094314388,0.6394952251023193,0.024506792359429933,0.0031037080007258527
proposed_fixed_comp,79,0.0,48,1.732213385334223,0.7942451040412272,8.611779357632244,1.9778378593795278,1.4287086601742276,2391509.5085544987,504000.0,964800.0,1.45,4.745058548719246,6.700471869675301,8.469344996681986,0.14180880587036912,0.6064036222509702,0.030310650487794764,0.003999712222452544
proposed_fixed_comp,83,0.0,48,1.7361245682046298,0.7999345232748961,8.614411595672847,1.9754906187256611,1.4289202099930547,2411522.817441296,504000.0,964800.0,1.4733333333333334,4.784767494923208,6.746502480114931,8.347663578951996,0.13995766909650276,0.616370808678501,0.029097407626561936,0.003744289747328698
proposed_fixed_comp,89,0.0,48,1.7309664141849588,0.7899524393905297,8.612732017389916,1.9760278019170625,1.4299090770749758,2365912.1399507932,504000.0,964800.0,1.4466666666666668,4.694270118949984,6.641597921886773,8.459072036778227,0.15879919521129982,0.6270903010033445,0.027612889635061616,0.0035952277912039195
proposed_fixed_comp,97,0.0,48,1.7447470722242233,0.8225628277411403,8.614962684740407,1.9736452130553257,1.4235649469947278,2382674.6988280397,504000.0,964800.0,1.45,4.727529164341352,6.680151807304448,8.323845905317395,0.13294053113606827,0.6258344459279038,0.031157324747104885,0.003572436124615871
fedcg_adapted,53,0.0,48,1.739893813476841,0.7949282950096668,8.62917563211795,1.9725467927908718,1.4341989422946029,983118.725866397,199440.0,964800.0,1.6866666666666668,5.046263570461455,3.461173069492714,8.48954396804992,0.10256017470991816,0.8267195767195767,0.0879812933430964,0.00031629273849777815
fedcg_adapted,59,0.0,48,1.7323226322503051,0.7701371809316443,8.643182561423517,1.970027941774287,1.440022216299131,1005737.2165087634,202752.0,964800.0,1.7066666666666668,5.130112680205878,3.513195597970157,8.460013951985308,0.10064591088416538,0.814509122502172,0.09277557826443836,0.00027765289523752634
fedcg_adapted,61,0.0,48,1.7295196916356155,0.7694388294013806,8.633836401594035,1.9721085479998908,1.4384951720708437,991189.5092656905,203856.0,964800.0,1.6766666666666667,4.999600066442252,3.479735871311089,8.506837908856347,0.10380263512142529,0.8109861591695502,0.0943227343850283,0.00033307860597688943
fedcg_adapted,67,0.0,48,1.7360005213803822,0.7830454602579959,8.62963715141561,1.9703100768062296,1.4372381452068124,987577.983864443,202080.0,964800.0,1.68,5.0424338501985835,3.47142936288822,8.442225357467647,0.10558981416682453,0.8340747330960854,0.08742571087642922,0.0002729729049901063
fedcg_adapted,71,0.0,48,1.7331341280098311,0.7844864600249368,8.621618286723645,1.973034310163176,1.4339539656796043,979211.9405312579,201168.0,964800.0,1.6766666666666667,5.0204978818533785,3.4521874632218945,8.483891218719245,0.09527902032648883,0.8303808680248007,0.0856543853419933,0.0003724245374764228
fedcg_adapted,73,0.0,48,1.7342497245960427,0.7872231499373094,8.628231968484888,1.9719915260444447,1.4332194647561007,999722.2523458784,204096.0,964800.0,1.69,5.086421309688157,3.4993611803955225,8.496427043706895,0.09798552794072822,0.8348174532502226,0.0927137145052304,0.00033924873899952184
fedcg_adapted,79,0.0,48,1.7337294503141842,0.78625585051584,8.625565268858827,1.9722695467777802,1.4331467763479209,1010924.8601288645,204000.0,964800.0,1.7033333333333334,5.1079374134639215,3.52512717829639,8.456691993572486,0.10256017470991817,0.8245382585751979,0.08524500259587794,0.00039362642182004016
fedcg_adapted,83,0.0,48,1.7327607238905445,0.7853042721551249,8.622765513835043,1.9731637720755502,1.4328827589964923,994776.3888341687,203040.0,964800.0,1.69,5.070949560784752,3.48798569431859,8.480636556555467,0.10334593098290287,0.8252640845070423,0.09799672450498202,0.00033799221337457827
fedcg_adapted,89,0.0,48,1.7280161751077456,0.7671864417263037,8.63059232276309,1.9730186213399845,1.438619431238007,986678.4075755494,202560.0,964800.0,1.68,5.0157662699883065,3.469360337423764,8.50799068675658,0.10324845005972588,0.8223684210526315,0.08713288281207586,0.00032256292896947045
fedcg_adapted,97,0.0,48,1.7364256825932174,0.794790179911192,8.625022995662945,1.9734321884513104,1.431325385088146,1000195.2785215317,203520.0,964800.0,1.71,5.07417905474888,3.5004491405995237,8.451709198195166,0.10610379484951706,0.8095854922279793,0.0921691110857826,0.0003211616914253724
proposed,53,0.0,48,1.7350800172252738,0.7830165169814922,8.637326246930737,1.969993296587206,1.4351819356464284,1005427.7411500879,203712.0,964800.0,1.5633333333333332,5.042720387991,3.512483804645201,8.50050322196064,0.09504654974001592,0.616370808678501,0.0146357860772823,0.0045429109136614606
