round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,generated_total,delivered_total,channel_drops_total,energy_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
1,100,0,2.141727999999995,2.141727999999995,100,89,11,0,100,89,11,0,0.89,166220.92067713584,1.1509753455075624,527,69,49.85273601027396
2,100,0,2.186431999999995,4.32815999999999,100,89,11,0,200,178,22,0,0.89,164504.08487671474,1.1585097279996772,1065,145,49.69933225735789
3,100,0,2.1376639999999956,6.465823999999985,100,89,11,0,300,267,33,0,0.89,165176.16316188042,1.1513406491914442,1591,210,49.5516233328242
4,100,0,2.1457919999999944,8.61161599999998,100,90,10,0,400,357,43,0,0.8925,165822.5355148213,1.1515335335419963,2119,276,49.40273556186415
5,100,0,2.1498559999999953,10.761471999999976,100,87,13,0,500,444,56,0,0.888,165033.18505126474,1.1524853073015424,2648,347,49.25228557884801
6,100,0,2.088895999999995,12.850367999999971,100,87,13,0,600,531,69,0,0.885,165287.0952800733,1.149535716141236,3162,407,49.11023076997163
7,100,0,2.137663999999995,14.988031999999967,100,90,10,0,700,621,79,0,0.8871428571428571,165732.2322236839,1.148095419476602,3688,470,48.96342713789521
8,100,0,2.1254719999999954,17.113503999999963,100,88,12,0,800,709,91,0,0.88625,165717.08517437492,1.1479425285833,4211,536,48.818075726370175
9,100,0,2.1376639999999947,19.251167999999957,100,90,10,0,900,799,101,0,0.8877777777777778,166015.90095728255,1.1473840336702463,4737,599,48.67031526978619
10,100,0,2.1335999999999955,21.38476799999995,100,90,10,0,1000,889,111,0,0.889,166286.583048271,1.1440220483128405,5262,661,48.52377988414258
11,100,0,2.1457919999999953,23.530559999999948,100,87,13,0,1100,976,124,0,0.8872727272727273,165911.9034991096,1.1440586288395211,5790,731,48.37505420117337
12,100,0,2.162047999999995,25.692607999999943,100,89,11,0,1200,1065,135,0,0.8875,165806.44518454527,1.1429499901385407,6322,804,48.224246360562155
13,100,0,2.105151999999995,27.79775999999994,100,89,11,0,1300,1154,146,0,0.8876923076923077,166056.54556338387,1.1396317099200346,6840,860,48.0784834087068
14,100,0,2.076703999999995,29.874463999999936,100,87,13,0,1400,1241,159,0,0.8864285714285715,166161.97699814834,1.1357045012485592,7351,917,47.93840561429194
15,100,0,2.1701759999999943,32.04463999999993,100,90,10,0,1500,1331,169,0,0.8873333333333333,166143.2301938799,1.1371432878936358,7885,986,47.78815437242484
16,100,0,2.141727999999995,34.18636799999992,100,88,12,0,1600,1419,181,0,0.886875,166031.09169128505,1.1360907128578734,8412,1056,47.63862995652668
17,100,0,2.1986239999999944,36.38499199999992,100,89,11,0,1700,1508,192,0,0.8870588235294118,165782.63917166763,1.1378558244657966,8953,1134,47.48445095661837
18,100,0,2.137663999999995,38.52265599999991,100,88,12,0,1800,1596,204,0,0.8866666666666667,165720.66058996593,1.1374205241674575,9479,1200,47.338668225796496
19,100,0,2.1214079999999953,40.64406399999991,100,90,10,0,1900,1686,214,0,0.8873684210526316,165928.28906085808,1.1365460514283694,10001,1260,47.19276481626887
20,100,0,2.088895999999995,42.732959999999906,100,87,13,0,2000,1773,227,0,0.8865,165960.88826985107,1.134627117602917,10515,1323,47.04996020798657
21,100,0,2.0888959999999956,44.821855999999904,100,88,12,0,2100,1861,239,0,0.8861904761904762,166079.69112211722,1.1336923830543575,11029,1383,46.90753520219943
22,100,0,2.1742399999999957,46.9960959999999,100,88,12,0,2200,1949,251,0,0.8859090909090909,165886.1195619316,1.1357341909339482,11564,1458,46.75646039000537
23,100,0,2.1051519999999955,49.1012479999999,100,88,12,0,2300,2037,263,0,0.8856521739130435,165942.82898878693,1.135231410604249,12082,1519,46.61260045739295
24,100,0,2.1132799999999956,51.214527999999895,100,87,13,0,2400,2124,276,0,0.885,165890.42859088766,1.1344698324740594,12602,1582,46.46635470296967
25,100,0,2.141727999999996,53.35625599999989,100,89,11,0,2500,2213,287,0,0.8852,165903.69459206468,1.1337912091440112,13129,1650,46.31821597604626
26,100,0,2.1254719999999954,55.48172799999988,100,87,13,0,2600,2300,300,0,0.8846153846153846,165820.35801047905,1.1325840273056915,13652,1719,46.173408100553516
27,100,0,2.1620479999999955,57.64377599999988,100,89,11,0,2700,2389,311,0,0.8848148148148148,165776.7874193394,1.1319916301634474,14184,1790,46.02228104104401
28,100,0,2.2026879999999953,59.84646399999988,100,89,11,0,2800,2478,322,0,0.885,165623.82031459737,1.132248682086622,14726,1872,45.86820745099538
29,100,0,2.1579839999999955,62.00444799999987,100,89,11,0,2900,2567,333,0,0.8851724137931034,165601.02268792107,1.130162231375141,15257,1940,45.71752781275421
30,100,0,2.1579839999999955,64.16243199999987,100,89,11,0,3000,2656,344,0,0.8853333333333333,165579.75857274272,1.127941718976197,15788,2006,45.566536238428384
31,100,0,2.145791999999996,66.30822399999987,100,89,11,0,3100,2745,355,0,0.885483870967742,165590.31953562837,1.1249339552666253,16316,2074,45.419402882846114
32,100,0,2.137663999999996,68.44588799999987,100,88,12,0,3200,2833,367,0,0.8853125,165561.44322358738,1.1223200481741893,16842,2143,45.27241114710317
33,100,0,2.101087999999996,70.54697599999986,100,89,11,0,3300,2922,378,0,0.8854545454545455,165676.83921703495,1.1201177269772935,17359,2202,45.12789474614993
34,100,0,2.1254719999999963,72.67244799999986,100,90,10,0,3400,3012,388,0,0.8858823529411765,165784.975345815,1.11806332415824,17882,2263,44.97985315701069
35,100,0,2.1335999999999955,74.80604799999986,100,89,11,0,3500,3101,399,0,0.886,165815.46989355757,1.1157551403090749,18407,2330,44.82990275476314
36,100,0,2.1051519999999964,76.91119999999985,100,88,12,0,3600,3189,411,0,0.8858333333333334,165853.60779704418,1.1126515244180097,18925,2392,44.6860259391583
37,100,0,2.1173439999999966,79.02854399999985,100,89,11,0,3700,3278,422,0,0.885945945945946,165914.73582000984,1.1105739954604052,19446,2457,44.54013753766833
38,100,0,2.088895999999996,81.11743999999985,100,88,12,0,3800,3366,434,0,0.8857894736842106,165981.5694380891,1.1085707291972973,19960,2512,44.398317620827726
39,100,0,2.1945599999999965,83.31199999999984,100,89,11,0,3900,3455,445,0,0.8858974358974359,165882.4659112736,1.107334055058836,20500,2585,44.245269745039316
40,100,0,2.109215999999996,85.42121599999983,100,89,11,0,4000,3544,456,0,0.886,165954.08803358674,1.1052409655649265,21019,2642,44.096958972994045
41,100,0,2.145791999999996,87.56700799999983,100,90,10,0,4100,3634,466,0,0.8863414634146342,165998.59161569193,1.104502704485158,21547,2706,43.94660905201238
42,100,0,2.117343999999996,89.68435199999983,100,89,11,0,4200,3723,477,0,0.8864285714285715,166049.03383814413,1.1026303308754333,22068,2768,43.801037061903486
43,100,0,2.194559999999996,91.87891199999983,100,88,12,0,4300,3811,489,0,0.8862790697674419,165914.0238839575,1.1012811459249088,22608,2846,43.648783093000745
44,100,0,2.1132799999999965,93.99219199999983,100,88,12,0,4400,3899,501,0,0.8861363636363636,165928.6762883456,1.0998448536975638,23128,2909,43.501394071021636
45,100,0,2.1539199999999963,96.14611199999983,100,88,12,0,4500,3987,513,0,0.886,165872.54199108985,1.098991813876523,23658,2978,43.35125598037971
46,100,0,2.0970239999999967,98.24313599999982,100,90,10,0,4600,4077,523,0,0.8863043478260869,165996.3297588549,1.0976573264817446,24174,3033,43.20814710855408
47,100,0,2.1092159999999964,100.35235199999983,100,89,11,0,4700,4166,534,0,0.8863829787234042,166054.9022308917,1.0963117421323711,24693,3094,43.06377986470998
48,100,0,2.129535999999996,102.48188799999983,100,86,14,0,4800,4252,548,0,0.8858333333333334,165961.033036394,1.095310707972618,25217,3165,42.91360070937051
49,100,0,2.162047999999997,104.64393599999983,100,89,11,0,4900,4341,559,0,0.8859183673469387,165934.1254136315,1.0943183782439427,25749,3235,42.76550428445994
50,100,0,2.166111999999997,106.81004799999982,100,88,12,0,5000,4429,571,0,0.8858,165864.54487877424,1.0935620928488474,26282,3307,42.61607521613651
51,100,0,2.1010879999999967,108.91113599999981,100,88,12,0,5100,4517,583,0,0.885686274509804,165896.7178526173,1.0927579000438639,26799,3368,42.47046799262201
52,100,0,2.0888959999999965,111.0000319999998,100,89,11,0,5200,4606,594,0,0.8857692307692308,165981.9341313346,1.0917511107589062,27313,3423,42.32827969119711
53,100,0,2.1173439999999966,113.11737599999981,100,88,12,0,5300,4694,606,0,0.8856603773584906,165986.87720620423,1.0909514540745868,27834,3488,42.18518655717058
54,100,0,2.1010879999999967,115.2184639999998,100,90,10,0,5400,4784,616,0,0.8859259259259259,166084.49145789718,1.0896817114478448,28351,3539,42.04010887997191
55,100,0,2.0888959999999965,117.30735999999979,100,88,12,0,5500,4872,628,0,0.8858181818181818,166127.6837190781,1.0884122875279147,28865,3595,41.8981901992784
56,100,0,2.1579839999999963,119.46534399999979,100,88,12,0,5600,4960,640,0,0.8857142857142857,166073.26723974475,1.0877409722234455,29396,3666,41.748410179376826
57,100,0,2.2026879999999966,121.66803199999978,100,90,10,0,5700,5050,650,0,0.8859649122807017,166025.53413537613,1.087424222647261,29938,3741,41.59368532994392
58,100,0,2.105151999999996,123.77318399999977,100,90,10,0,5800,5140,660,0,0.8862068965517241,166110.29413285546,1.0865951475691893,30456,3797,41.44814497335539
59,100,0,2.1376639999999965,125.91084799999977,100,89,11,0,5900,5229,671,0,0.8862711864406779,166117.5373864533,1.085755690220504,30982,3862,41.301444743683135
60,100,0,2.1254719999999963,128.03631999999976,100,89,11,0,6000,5318,682,0,0.8863333333333333,166140.35767351044,1.0850039379128245,31505,3924,41.15472679569822
61,100,0,2.0441919999999967,130.08051199999977,100,88,12,0,6100,5406,694,0,0.8862295081967213,166235.50805212112,1.0837887079665878,32008,3974,41.0148770666151
62,100,0,2.1214079999999957,132.20191999999977,100,89,11,0,6200,5495,705,0,0.8862903225806451,166260.82283827677,1.0828038524144763,32530,4037,40.86985307834816
63,100,0,2.101087999999996,134.30300799999978,100,88,12,0,6300,5583,717,0,0.8861904761904762,166280.7135339816,1.0816319824983236,33047,4099,40.72482368942429
