method,seed,correlation,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,compression_saving,energy_j,min_residual_energy_j,participation_jain,representation_js,class_coverage_js,mean_route_cost,mean_route_hops,max_relay_queue,max_relay_energy_j
random,7,0.0,0.933,0.9324167408524918,1949661.6515712475,748800.0,1463040.0,1.3833333333333333,2.6037148124616016,0.4855600755922507,7.26941839283112,8.249425776003012,0.8941877794336811,0.030405236773957935,0.0017590275334341647,2.5904092590014876,1.375,0.11416338398213202,0.27016338398213213
random,11,0.0,0.963,0.9631670372027864,1920338.0514099218,748800.0,1463040.0,1.325,2.5645540216478673,0.4789071891866956,7.188464830449946,8.349560457375063,0.933852140077821,0.05982065278765013,0.0007225223853453804,2.5188737816302265,1.2916666666666667,0.3540986737006765,0.5060986737006766
random,19,0.0,0.954,0.9533545325358602,2248813.9989219042,748800.0,1463040.0,1.4458333333333333,3.003223823346555,0.4923336610113469,7.722944179556699,8.47114145945315,0.9280742459396751,0.05134000408132704,0.0007078547198175237,3.0277427143489946,1.4583333333333333,0.32387287977696094,0.48387287977696103
resource,7,0.0,0.929,0.9281146171535607,1575165.3355416937,748800.0,1463040.0,1.1833333333333333,2.1035861852853817,0.5843750963185195,6.437550610464406,8.259589856452637,0.8130081300813008,0.08590169017097213,0.002469254133753196,2.5904092590014876,1.375,0.009508169199106607,0.10870608047997046
resource,11,0.0,0.966,0.9660999903820748,1495949.9480784961,748800.0,1463040.0,1.1208333333333333,1.9977964050193564,0.5940669077989127,6.252781613994248,8.286367242465325,0.8298755186721992,0.0782359279208768,0.0010730476270770046,2.5188737816302265,1.2916666666666667,0.00948815078473544,0.13669522797160719
resource,19,0.0,0.951,0.9502393127969586,1760575.6767553343,748800.0,1463040.0,1.2166666666666666,2.3511961495129916,0.6025527194515254,6.706667042051151,8.6676635663039,0.69164265129683,0.15005509679729245,0.0035489108723208737,3.0277427143489946,1.4583333333333333,0.02519881991215908,0.17052124004914723
utility,7,0.0,0.928,0.927271534300294,1978768.8960026826,748800.0,1463040.0,1.3958333333333333,2.6425866666702515,0.47787980521664075,7.28179687808345,8.487288757481387,0.6711409395973155,0.057666794762236434,0.008175607704613012,2.5904092590014876,1.375,0.21249794231293537,0.3564979423129353
utility,11,0.0,0.958,0.9582405580255206,1860273.9689187165,748800.0,1463040.0,1.2083333333333333,2.4843402362696483,0.4952058619913534,6.950858445220307,8.286367242465325,0.6335797254487856,0.09124682784388419,0.014417794942057128,2.5188737816302265,1.2916666666666667,0.292180905501177,0.4321809055011771
utility,19,0.0,0.945,0.9440444607775749,2418890.5588612165,748800.0,1463040.0,1.6041666666666667,3.230355981385165,0.4539391363536527,8.134705187907793,8.52926549568756,0.5305039787798409,0.09757972634797629,0.03284876496210011,3.0277427143489946,1.4583333333333333,0.6071858237399588,0.7671858237399589
proposed,7,0.0,0.926,0.9251767812070447,1622569.952548447,749136.0,1463040.0,1.3666666666666667,2.5667638584119223,0.5718668605588024,6.502191487156247,8.292092133004267,0.8620689655172413,0.008234432784596355,0.001960064730399596,2.5904092590014876,1.375,0.0030323631480413653,0.14330858774330116
proposed,11,0.0,0.96,0.9600902821153394,1592187.9696000007,781104.0,1463040.0,1.2416666666666667,2.4643370877333624,0.5679522655853022,6.356710190431551,8.344849784247307,0.8264462809917356,0.007684618275106008,0.004958899889535838,2.5188737816302265,1.2916666666666667,0.015042594425027322,0.164213036662565
proposed,19,0.0,0.948,0.9471271214595107,1443870.5660163006,565104.0,1463040.0,1.5125,3.0751612441025946,0.6740484163766427,6.257096765313994,8.584600413491964,0.759974667511083,0.02504872969489746,0.0148662190550542,3.0277427143489946,1.4583333333333333,0.07350896470678919,0.22950896470678925
random,7,0.5,0.941,0.9408396885323602,1967225.7324392302,748800.0,1463040.0,1.3833333333333333,2.6271711170395684,0.48092559738587326,7.298828701652056,8.198179659159432,0.9353078721745908,0.050713147110211645,0.00019043371782850003,2.5904092590014876,1.375,0.14315468470826603,0.29515468470826617
random,11,0.5,0.966,0.9658754771446929,1861381.92986023,748800.0,1463040.0,1.2708333333333333,2.4858198849629125,0.4949052115507392,7.019108052406635,8.30499144838317,0.9309542280837859,0.0620064491133515,0.0009129370692142137,2.5188737816302265,1.2916666666666667,0.17434259263392932,0.33034259263392945
random,19,0.5,0.963,0.9626450511584895,2305304.7479686653,748800.0,1463040.0,1.4791666666666667,3.078665528804298,0.4795809603571155,7.872463967151422,8.58684664698707,0.9070294784580499,0.06077229986591855,0.0010698106926014302,3.0277427143489946,1.4583333333333333,0.3493355839454235,0.5053355839454237
resource,7,0.5,0.943,0.9430090884267811,1590750.580755505,748800.0,1463040.0,1.1916666666666667,2.124399814043143,0.5802627559218112,6.472923766994033,8.24556908462803,0.8236101578586136,0.11591568851743755,0.016462665939961596,2.5904092590014876,1.375,0.015046964711448271,0.12418785884579309
resource,11,0.5,0.962,0.9618895661344025,1506105.703817898,748800.0,1463040.0,1.125,2.011359113004669,0.5913110954562406,6.2722708705671995,8.286367242465325,0.8362369337979094,0.09534171250850014,0.00020641351541714594,2.5188737816302265,1.2916666666666667,0.01268262725213459,0.135073842880995
resource,19,0.5,0.952,0.9513584601532722,1757128.4854433467,748800.0,1463040.0,1.2166666666666666,2.346592528636939,0.6033309176457688,6.7007244170316484,8.6676635663039,0.6872852233676976,0.1956189935794183,0.01831712299420228,3.0277427143489946,1.4583333333333333,0.018616005203184998,0.16238024656514125
utility,7,0.5,0.94,0.9401735389345378,1948467.1356485449,748800.0,1463040.0,1.3666666666666667,2.6021195721802166,0.48587526191213526,7.260401984807264,8.333060267410717,0.6861063464837049,0.05705014164939931,0.004769664739518708,2.5904092590014876,1.375,0.12942042568812834,0.27742042568812836
utility,11,0.5,0.964,0.9641713738955179,2072848.5210765596,748800.0,1463040.0,1.4083333333333334,2.768227191608653,0.4375227520774603,7.492842779568414,8.35580487694669,0.6269592476489029,0.08169556425270105,0.020741530740492734,2.5188737816302265,1.2916666666666667,0.269689915922615,0.4296899159226153
utility,19,0.5,0.962,0.9616343681037893,2274683.521105556,748800.0,1463040.0,1.3958333333333333,3.037771796348226,0.4864936557353853,7.746767499191563,8.239731084385312,0.5994005994005994,0.09342530443345907,0.029132299874761368,3.0277427143489946,1.4583333333333333,0.3825740695774776,0.5425740695774778
proposed,7,0.5,0.936,0.9363526060693219,1545725.934032004,714864.0,1463040.0,1.3708333333333333,2.547733002631723,0.5921430100357784,6.4201346495705955,8.330175338514445,0.8547008547008547,0.007181570935348983,0.0020485122482978902,2.5904092590014876,1.375,0.01018230274211598,0.1381460871374185
proposed,11,0.5,0.961,0.9611464588785671,1507140.6974886179,726960.0,1463040.0,1.325,2.5478271298966337,0.5910302450295912,6.285952791841367,8.451923339709705,0.8270158511371468,0.01114832609872986,0.010990865347378273,2.5188737816302265,1.2916666666666667,0.016073990620240997,0.16407399062024103
proposed,19,0.5,0.964,0.9636613539053964,1446131.1612465533,577200.0,1463040.0,1.4458333333333333,3.0282190558992337,0.6735380904426046,6.214115690495172,8.5256482155195,0.8310249307479224,0.019333440662995763,0.013356576954277968,3.0277427143489946,1.4583333333333333,0.038153275504274345,0.19415327550427444
random,7,0.9,0.929,0.9289422933752945,1974370.9207536061,748800.0,1463040.0,1.3916666666666666,2.636713302288467,0.47904025993085164,7.323772244063453,8.268283518282464,0.9295120061967467,0.03784479647492371,0.00023469638713207765,2.5904092590014876,1.375,0.16611824143991127,0.3261182414399114
random,11,0.9,0.958,0.9577963648583576,1927119.0513122717,748800.0,1463040.0,1.3208333333333333,2.5736098441670263,0.47706713279837076,7.18361014286665,8.349560457375063,0.9456264775413712,0.06526068411675648,0.00014148287047418065,2.5188737816302265,1.2916666666666667,0.2316875961974463,0.39114166918808435
random,19,0.9,0.959,0.9585696214925793,2270622.42223192,748800.0,1463040.0,1.4541666666666666,3.032348320288347,0.48741044262769295,7.758226967590827,8.52926549568756,0.9223674096848578,0.08436052317425263,0.003418808230199197,3.0277427143489946,1.4583333333333333,0.31813817446314296,0.47813817446314305
resource,7,0.9,0.927,0.9270906693530311,1616701.2362986205,748800.0,1463040.0,1.2083333333333333,2.159056138219312,0.5734153866538293,6.534146051885208,8.268773657822397,0.8379888268156425,0.07377118678354685,0.0071258581553356355,2.5904092590014876,1.375,0.008551787667019538,0.12418785884579309
