round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,0.0,100,0,100,100,0,0,0,0,2.600959999999994,2.600959999999994,1.0,153789.37007874053,1.3623139537196491,49.861351492454155,0.49861351492454153,0.0025735748319141716,0.9999733600172057,0
2,0.0,100,0,100,100,0,0,0,0,2.600959999999994,5.201919999999988,1.0,153789.37007874053,1.3549987537196484,49.72270298490829,0.4972270298490829,0.005147149663828343,0.9998928535963693,0
3,0.0,100,0,100,100,0,0,0,0,2.6050239999999945,7.806943999999982,1.0,153709.31314481093,1.355689633719649,49.583543785941096,0.495835437859411,0.007723207006948872,0.9997574424089644,0
4,0.0,100,0,100,100,0,0,0,0,2.6090879999999945,10.416031999999976,1.0,153609.35911103227,1.3576301937196493,49.44465370350294,0.4944465370350294,0.010296039659556524,0.9995665754971205,0
5,0.0,100,0,100,100,0,0,0,0,2.6009599999999944,13.01699199999997,1.0,153645.3275841304,1.3590546257196499,49.30600519595708,0.49306005195957076,0.012869586801263084,0.9993191776654474,0
6,0.0,100,0,100,100,0,0,0,0,2.600959999999994,15.617951999999963,1.0,153669.31592567358,1.3609525137196499,49.167356688411225,0.49167356688411223,0.015443143171979378,0.9990144255558493,0
7,0.0,100,0,100,100,0,0,0,0,2.600959999999994,18.218911999999957,1.0,153686.45504188212,1.3631209480053645,49.02870818086538,0.49028708180865377,0.018016704816813358,0.9986514602055356,0
8,0.0,100,0,100,100,0,0,0,0,2.609087999999994,20.82799999999995,1.0,153639.3316689076,1.3631572337196505,48.889178866077934,0.4888917886607793,0.020593165537580796,0.9982288682826405,0
9,0.0,100,0,100,100,0,0,0,0,2.605023999999994,23.433023999999943,1.0,153629.33951674393,1.3614243892752047,48.750131343976825,0.48750131343976827,0.023167697378441775,0.9977466200362708,0
10,0.0,100,0,100,100,0,0,0,0,2.600959999999994,26.033983999999936,1.0,153645.3275841304,1.358505985719649,48.611482836430966,0.48611482836430964,0.025741255060191683,0.9972038167489775,0
11,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,28.63494399999993,1.0,153658.41120555397,1.356635437356012,48.47283432888514,0.4847283432888514,0.028314815859538173,0.9965994333631492,0
12,0.0,100,0,100,100,0,0,0,0,2.6090879999999936,31.244031999999923,1.0,153629.33951674393,1.3543891537196475,48.33310748840462,0.4833310748840462,0.030894065025776442,0.9959309791254948,0
13,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,33.84499199999992,1.0,153641.63773476478,1.3524353075658015,48.19445898085876,0.4819445898085876,0.033467617019674455,0.9952008304633253,0
14,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,36.44595199999991,1.0,153652.1806317479,1.3511669822910768,48.05581047331292,0.48055810473312915,0.03604117227512485,0.9944066752476558,0
15,0.0,100,0,100,100,0,0,0,0,2.6050239999999936,39.050975999999906,1.0,153645.3275841304,1.350560865719648,47.916741696832794,0.47916741696832793,0.038615962158723725,0.9935472079390945,0
16,0.0,100,0,100,100,0,0,0,0,2.6050239999999936,41.6559999999999,1.0,153639.3316689076,1.349225333719649,47.77760140385799,0.47777601403857994,0.04119159162352266,0.9926217688676031,0
17,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,44.25695999999989,1.0,153648.14935323203,1.3481784054843555,47.63895289631214,0.4763895289631214,0.043765148370075516,0.9916308294843142,0
18,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,46.857919999999886,1.0,153655.98814458723,1.3475638914974275,47.50030438876628,0.4750030438876628,0.04633870712548321,0.9905728275746114,0
19,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,49.45887999999988,1.0,153663.0024780185,1.3473135158249137,47.36165588122044,0.47361655881220444,0.04891226757265314,0.9894470375957765,0
20,0.0,100,0,100,100,0,0,0,0,2.600959999999994,52.05983999999987,1.0,153669.3159256736,1.3473726577196499,47.22300737367459,0.4722300737367459,0.05148582945789304,0.9882527509384536,0
21,0.0,100,0,100,100,0,0,0,0,2.600959999999994,54.66079999999987,1.0,153675.02853964854,1.3476971003863165,47.08435886612874,0.4708435886612874,0.0540593925758198,0.9869892768692134,0
22,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,57.26175999999986,1.0,153680.2221936598,1.347327030083286,46.9457103585829,0.469457103585829,0.05663295675838302,0.9856559434794591,0
23,0.0,100,0,100,100,0,0,0,0,2.6050239999999936,59.86678399999985,1.0,153674.53177374657,1.3472559502413883,46.806551159615694,0.46806551159615695,0.05920894339298433,0.9842504924759777,0
24,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,62.46774399999985,1.0,153679.31327886635,1.3465625670529826,46.66790265206984,0.4666790265206984,0.06178250490355549,0.9827754159852305,0
25,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,65.06870399999984,1.0,153683.71252637866,1.3461522385196487,46.529254144524,0.46529254144524,0.06435606747955487,0.9812285852031913,0
26,0.0,100,0,100,100,0,0,0,0,2.6050239999999936,67.67372799999984,1.0,153678.54420551538,1.345263910642726,46.390206622422895,0.46390206622422897,0.06693060718848133,0.9796084867906386,0
27,0.0,100,0,100,100,0,0,0,0,2.6009599999999935,70.27468799999983,1.0,153682.64601900513,1.3446009344603904,46.25155811487705,0.4625155811487705,0.06950417033720215,0.9779163577854418,0
28,0.0,100,0,100,100,0,0,0,0,2.600959999999993,72.87564799999981,1.0,153686.45504188215,1.343462799433935,46.112909607331204,0.46112909607331204,0.07207773432023064,0.976150783902221,0
29,0.0,99,1,100,95,0,1,4,0,2.4350897029867062,75.31073770298651,0.9982758620689656,153762.9341206252,1.3398684985248759,45.984590097433944,0.46449080906498935,0.05818703677122394,0.9845497364458822,0
