round,lambda_energy,alive_nodes,dead_nodes,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,round_airtime_s,elapsed_channel_time_s,pdr,goodput_bps,average_delay_s,residual_energy_j,mean_alive_energy_j,std_alive_energy_j,jain_energy_fairness,route_changes_total
1,1.0,100,0,100,100,0,0,0,0,2.5643839999999947,2.5643839999999947,1.0,155982.87931916624,1.270853954591171,49.85790592033677,0.4985790592033677,0.002244947022959029,0.9999797261923747,0
2,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,5.124703999999989,1.0,156106.57708230597,1.2623195512826284,49.72544964985222,0.4972544964985222,0.003022921504012926,0.9999630444004738,26
3,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,7.685023999999983,1.0,156147.85327931345,1.2612358172003477,49.589819057527144,0.49589819057527146,0.003931357976473733,0.999937154694671,52
4,1.0,100,0,100,100,0,0,0,0,2.560319999999995,10.245343999999978,1.0,156168.49956429022,1.2569347508495654,49.45178949256405,0.4945178949256405,0.004971254389172726,0.9998989528509733,78
5,1.0,100,0,100,100,0,0,0,0,2.560319999999995,12.805663999999974,1.0,156180.8899561947,1.2554107508035497,49.31521543166102,0.4931521543166102,0.006005829614543569,0.9998517073120041,103
6,1.0,100,0,100,100,0,0,0,0,2.564383999999995,15.370047999999969,1.0,156147.85327931342,1.2559119771244325,49.17974131042492,0.49179741310424924,0.007062766775744334,0.9997938004608994,127
7,1.0,100,0,100,100,0,0,0,0,2.560319999999995,17.930367999999962,1.0,156159.65048793232,1.2564790018708087,49.044232326852445,0.49044232326852444,0.008151475271388452,0.9997238299408341,151
8,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,20.490687999999956,1.0,156168.49956429022,1.25756467044052,48.908928601133354,0.48908928601133356,0.009239980794467216,0.9996432114902843,174
9,1.0,100,0,100,100,0,0,0,0,2.560319999999995,23.05100799999995,1.0,156175.38287262787,1.2589961013518882,48.774757324673864,0.4877475732467386,0.010314449242179202,0.9995529998401849,196
10,1.0,100,0,100,100,0,0,0,0,2.5643839999999947,25.615391999999943,1.0,156156.11113817853,1.2607223982943507,48.63767194034,0.4863767194034,0.011428612548552649,0.9994481745323265,219
11,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,28.175711999999937,1.0,156162.868217847,1.2625670846705963,48.50220983654406,0.48502209836544063,0.012525089795760926,0.9993335783091805,243
12,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,30.73603199999993,1.0,156168.49956429025,1.2645445899643106,48.36844704043023,0.48368447040430235,0.013620006575453637,0.9992077064473406,266
13,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,33.29635199999993,1.0,156173.26486697435,1.2666242637115672,48.23370384821092,0.48233703848210924,0.014719957909855294,0.9990695187624156,290
14,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,35.856671999999925,1.0,156177.3496436036,1.2673327841739646,48.098410915572984,0.48098410915572987,0.015816988107209183,0.9989197687731827,313
15,1.0,100,0,100,100,0,0,0,0,2.5603199999999946,38.41699199999992,1.0,156180.8899561947,1.2682990484900258,47.96450225461751,0.4796450225461751,0.01690512608151358,0.9987593256837507,332
