seed,FND,HND,LND,PDR,Goodput_kbps,Energy_per_packet,Payload_reduction,Semantic_efficiency
101,139.0,364.0,1320.0,91.008,53.782,0.001220763,56.62,0.74438
11,120.0,354.0,1275.0,96.281,52.894,0.001179857,56.75,0.681944
137,125.0,418.0,1236.0,95.969,64.865,0.001074922,55.19,0.703999
173,115.0,406.0,1246.0,94.368,57.197,0.001063785,56.12,0.640409
211,130.0,394.0,1285.0,94.819,52.575,0.001236277,55.68,0.702379
23,124.0,494.0,928.0,98.097,51.798,0.001210918,56.26,0.479905
257,135.0,383.0,1173.0,95.601,56.82,0.001264958,55.3,0.691111
307,122.0,359.0,1301.0,93.77,53.333,0.001219512,56.01,0.716493
42,109.0,403.0,1409.0,96.262,59.735,0.001065144,56.28,0.756511
67,119.0,515.0,1509.0,97.614,65.119,0.000940982,55.85,0.77917
