dataset,relay_pressure_weight,compression_distortion_weight,n,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,worst_client_accuracy_mean,worst_client_accuracy_sd,worst_client_accuracy_ci95,p10_client_accuracy_mean,p10_client_accuracy_sd,p10_client_accuracy_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,representation_js_mean,representation_js_sd,representation_js_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,rmse_c_mean,rmse_c_sd,rmse_c_ci95,mae_c_mean,mae_c_sd,mae_c_ci95,worst_client_rmse_c_mean,worst_client_rmse_c_sd,worst_client_rmse_c_ci95,p90_client_rmse_c_mean,p90_client_rmse_c_sd,p90_client_rmse_c_ci95
uci_har,1.0,0.2,10,0.9054966248794599,0.0017009008750013626,0.0010542292844788208,0.9053583544027785,0.0019139271589509823,0.0011862643431962844,0.7225427350427351,0.03838459778055232,0.023791020186973908,0.8514248241908378,0.008030113263144893,0.0049771157650103206,12380422.914459696,1093389.3534884509,677689.7423748851,21.237410814783125,2.5131063232404034,1.5576394367877602,1.5294719462807131,0.6268803205661617,0.38854444813181077,0.027932986359905175,0.010593853602714805,0.006566138490260029,0.8273271753042994,0.027436718322821973,0.017005454198436104,,,,,,,,,,,,
intel_lab,1.0,0.2,10,,,,,,,,,,,,,1209965.8137592715,33411.13967366075,20708.43891579343,3.9829213716463228,0.07684562124941889,0.047629409506324376,0.11192019168003715,0.005850795697654256,0.003626360743664659,0.02331977255129915,0.003028778953933139,0.0018772566446277397,0.6637646449503175,0.016919475653738685,0.010486799656789801,1.7373993975843647,0.006447376563435919,0.00399612539515633,0.7904258037273935,0.015519166726618258,0.009618879191826616,8.629854805932066,0.009704513720662469,0.006014919920563094,1.9717667104471936,0.002884801074497477,0.0017880182304149692
uci_har,1.0,0.4,10,0.9041947926711668,0.003943703962715232,0.0024443330401639303,0.9039270442917591,0.004454353774229337,0.0027608370724234985,0.7014529914529914,0.020670688812792975,0.012811825660785581,0.8420932364898356,0.009540826301314332,0.00591346540694987,15249268.540281758,1114419.8340514551,690724.569272816,25.537890757954834,2.425019325917551,1.5030425502058282,1.5602859433114948,0.617593647558008,0.38278850856798013,0.02475348778634807,0.008538759344516911,0.005292377872461085,0.8375907890469858,0.021348076995390423,0.013231675206135215,,,,,,,,,,,,
intel_lab,1.0,0.4,10,,,,,,,,,,,,,1837763.0698185586,74895.66786415571,46420.81587672123,5.426855060582644,0.17226003608755455,0.10676787651645663,0.12910428435351134,0.006754538098106799,0.004186506086750271,0.02571520724246234,0.002541939957150712,0.0015755107082374644,0.6692372316182035,0.019310773386311274,0.011968941346900821,1.7351933651919236,0.005013826925775963,0.0031076021243490776,0.7935094306360014,0.012099833835005841,0.0074995547087249375,8.623590812090125,0.005930367499018262,0.003675679857111878,1.97286734870188,0.0021368411953976607,0.0013244278944045693
uci_har,1.0,0.8,10,0.8547251687560269,0.051569869777871695,0.031963336438725794,0.8343146023475168,0.07923023098229644,0.04910740593127813,0.6753846153846154,0.04889307256021755,0.030304240334456833,0.7724146467253458,0.0697499831035058,0.04323148741960631,26159024.388955064,2144778.5202614246,1329347.4993238125,41.953672215742614,2.851739742999335,1.767526604852618,1.6553702735309188,0.5669445390396578,0.35139586587047555,0.020295774304397378,0.009363629480807484,0.005803637679749303,0.862198636030133,0.017354487790173928,0.010756422972336257,,,,,,,,,,,,
intel_lab,1.0,0.8,10,,,,,,,,,,,,,2515420.8231491065,40192.070289454154,24911.303254482587,6.985467893242882,0.09244176166574246,0.057295997485308656,0.15227983440645687,0.0068216936233,0.004228129512497037,0.02134780138395421,0.002545403212762502,0.0015776572563045773,0.7110039836900516,0.010150257549399232,0.006291194807910443,1.73507972622677,0.0033721988151525126,0.0020901104798454013,0.7936964334155435,0.00948144588941005,0.005876661046346636,8.627040637812119,0.003314391926556595,0.0020542813990929018,1.9733866275901453,0.0011219796390296633,0.0006954101849427881
uci_har,2.0,0.2,10,0.905062680810029,0.002674431452437413,0.0016576297877961225,0.9050305130177284,0.0026421015446826766,0.0016375915033666935,0.7107692307692308,0.022703531919157593,0.01407179487179487,0.8522109730947985,0.009327175535819104,0.005781043290560398,12264573.752838857,1101477.2433060529,682702.6684193539,21.008689762374512,2.4818854005409747,1.5382885084168398,1.4505869250070207,0.5579819668854514,0.3458408060971004,0.027829653532217613,0.010419013345241441,0.006457771375960031,0.8360179004936992,0.028999106345247924,0.01797383232744322,,,,,,,,,,,,
intel_lab,2.0,0.2,10,,,,,,,,,,,,,1200692.908947902,31302.74186074355,19401.64041249639,3.9615936905801723,0.07199630627970939,0.04462377294874121,0.10792049872834683,0.0055054073215743135,0.0034122868102958092,0.02346706001381665,0.0029686897923231156,0.0018400129964057255,0.6641060978979805,0.02230312190395959,0.013823618173185078,1.7402835446988718,0.009850185212583034,0.006105208046669359,0.7941970971491983,0.02128478384097986,0.01319244570260133,8.633449062572314,0.0073165512501735365,0.0045348454473085565,1.9704512948736421,0.0023763695141849847,0.0014728890844944228
uci_har,2.0,0.4,10,0.9049662487945997,0.003201920485223527,0.00198457087753134,0.9048626984680673,0.0034988177240952833,0.002168589692677906,0.6984615384615385,0.016537964611894454,0.010250336663222413,0.8498149648454525,0.008303862895384583,0.005146787544926453,14969719.907762477,1023682.8360246234,634485.1952378614,25.070127151370052,2.1430767734670457,1.3282927457330713,1.4721293609889687,0.5952523423093508,0.36894122411256114,0.0266860691778882,0.010196165461193826,0.006319648826433476,0.8334995679322124,0.025333370994182886,0.01570178601772578,,,,,,,,,,,,
intel_lab,2.0,0.4,10,,,,,,,,,,,,,1830970.4672684155,70957.66025054891,43980.013470313206,5.4112320747173195,0.1632026185762605,0.10115403098171914,0.12293927409913666,0.0046545355148846085,0.002884911000727265,0.023925989682129417,0.0024380263688034733,0.0015111043989098566,0.6686773597975475,0.02637763171882741,0.016349025520468966,1.7345185627078528,0.004461684608791299,0.002765380770759172,0.7913245196475998,0.011532009610773051,0.007147613608322954,8.625117108279317,0.004112781997294971,0.0025491286917129602,1.9729960300192075,0.0027070130409831473,0.0016778240655959532
uci_har,2.0,0.8,10,0.8646576663452267,0.051389232351799125,0.031851376202102114,0.8503375190862545,0.07083143946034444,0.04390178101403118,0.662051282051282,0.03556623771158914,0.02204418251843291,0.7835597097824207,0.06496639679119838,0.0402665899059505,25595027.262581658,2506892.4570914353,1553788.0426469531,40.96370330100884,3.219148419806909,1.9952488620134585,1.6037224553217768,0.6212303472461347,0.38504255838735885,0.020027763182771944,0.007797605718485984,0.004833006095808409,0.8533160796380045,0.015450001276721513,0.009576010001842078,,,,,,,,,,,,
intel_lab,2.0,0.8,10,,,,,,,,,,,,,2426277.8641966595,53735.073130383564,33305.34338023431,6.780439087652262,0.12359066819988034,0.07660228977453776,0.13447499605279087,0.0029634945160821255,0.0018367929308306492,0.02240788784641893,0.0014911474931743015,0.00092422279151351,0.7058303965077759,0.008619880616189122,0.005342657357555087,1.734860152650543,0.00381530364382862,0.002364749698009099,0.7928318472695215,0.007112238025737622,0.004408210798827667,8.624847230555318,0.007301891150160248,0.004525759023182057,1.9735271249322843,0.0018148963085636743,0.001124884386210221
uci_har,3.0,0.2,10,0.9016393442622951,0.005745600428067971,0.0035611600400749116,0.9013626060187672,0.006065400992985094,0.0037593744837756534,0.7092307692307692,0.025589692204871083,0.015860655550049552,0.8478772078056809,0.01062376473272605,0.006584677600712119,12114998.15779969,1024007.0195517172,634686.126269664,20.74675274890783,2.3532195842839814,1.458540609286983,1.4211244910539529,0.5574967809307054,0.3455400847267791,0.030800682995919614,0.012307696382627001,0.007628389250507641,0.8241597825632487,0.032082778772876096,0.019885112299559714,,,,,,,,,,,,
intel_lab,3.0,0.2,10,,,,,,,,,,,,,1200212.802292707,47046.76366190739,29159.886223409158,3.960489445273223,0.10820755642238626,0.06706773831384061,0.1079633220192862,0.004092657956758237,0.0025366556821639196,0.025821388632446873,0.0028342818639520914,0.001756706099315234,0.6566304366330631,0.020540909051928354,0.012731387331634841,1.7374694460169124,0.005806141222272662,0.0035986836130792108,0.7920019639480488,0.013567919776326409,0.008409483802312216,8.630029484439833,0.008676086880659175,0.00537749436119614,1.9721552720131748,0.0017596718264979714,0.0010906558976077957
uci_har,3.0,0.4,10,0.9059787849566057,0.0022615312246014527,0.0014017115751887605,0.9058693427026853,0.002427871320050033,0.0015048102344829156,0.7076923076923076,0.017764623667373112,0.011010627822667962,0.8526389613001601,0.011005105213483888,0.006821034879422921,14659580.023156399,934862.3602274441,579433.6939875879,24.551013296930105,1.914075611187593,1.1863563548458056,1.395414526159216,0.5272891469724292,0.32681719922435015,0.029370119614983224,0.009776078471530194,0.006059276212696301,0.8250807731747483,0.032345570622128526,0.02004799237521611,,,,,,,,,,,,
