method,correlation,n,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,worst_client_accuracy_mean,worst_client_accuracy_sd,worst_client_accuracy_ci95,p10_client_accuracy_mean,p10_client_accuracy_sd,p10_client_accuracy_ci95,client_accuracy_sd_mean,client_accuracy_sd_sd,client_accuracy_sd_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,compressed_bits_mean,compressed_bits_sd,compressed_bits_ci95,raw_selected_bits_mean,raw_selected_bits_sd,raw_selected_bits_ci95,mean_selected_hops_mean,mean_selected_hops_sd,mean_selected_hops_ci95,mean_selected_etx_mean,mean_selected_etx_sd,mean_selected_etx_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,min_residual_energy_j_mean,min_residual_energy_j_sd,min_residual_energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,class_coverage_js_mean,class_coverage_js_sd,class_coverage_js_ci95
random,0.0,10,0.834219596258001,0.03507472804103077,0.021739541668444072,0.8205423725724966,0.04402544944337239,0.027287256269715187,0.49142857142857144,0.05626754646405336,0.0348749866144494,0.6587297119282653,0.05302133058878569,0.03286296116973059,0.12536914138000582,0.013565998662939166,0.008408293083898578,39422240.65611319,3062238.7826090064,1897995.2612997524,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.263,0.07211872926716828,0.04469965150249435,2.4327508303782333,0.18897109391100192,0.11712549746369907,66.77128816328059,6.385654602737951,3.9578697275747627,4.493781634551581,0.997020628776794,0.6179597879771457,3.8103896430467636,1.0244237147264943,0.6349443966147543,0.8965639186485401,0.025193045624870437,0.01561481145274158,0.06850894569308116,0.017382440293281343,0.010773748113256239,3.591313293471036e-05,1.223519525596996e-05,7.58345258664738e-06
resource,0.0,10,0.8584441161989169,0.028756865501215596,0.017823689896788324,0.8487113240179989,0.0366935465668797,0.022742895785835195,0.5216666666666667,0.03689323936863109,0.022866666666666664,0.704837390761548,0.035627716153475646,0.022082287251491403,0.11214018834805209,0.007078240710202906,0.004387139044349126,28831182.10566631,1430186.3143911024,886438.6614479965,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.0334999999999999,0.009442810316143515,0.005852714469941837,1.7791754360230485,0.08825695561753874,0.054702227824347714,44.83248270821587,2.322212462105447,1.4393221958518103,6.700413432411085,0.28747820183174794,0.17818083550583094,0.5740238220453866,0.16896543117633156,0.10472585923652768,0.6721981102593442,0.05874106236706712,0.036408087654555034,0.168358961625337,0.034658074051741095,0.02148129685038332,8.695160148843312e-05,4.9855866724840495e-05,3.090098634016985e-05
utility,0.0,10,0.7720334810438207,0.04658889966330747,0.02887609917695225,0.7268970643676684,0.06829243477208956,0.04232808960430386,0.5096620583717357,0.09466067130322778,0.05867129192711287,0.6073684640522876,0.08711409701299176,0.05399387672250525,0.11960555337402201,0.022375681619179584,0.013868591150612876,41117613.2117679,3969529.877492421,2460340.1079811803,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.283,0.10713957666935636,0.06640579760499496,2.5373724582696418,0.244960127708608,0.15182786013904515,70.07909272120133,8.827683571515864,5.471454963651045,3.5831741733809657,1.0984793980240113,0.6808445846632019,4.109733692293711,1.0665350632309276,0.6610452808313206,0.569967983829881,0.08305440310433797,0.05147765236903158,0.07894692743589891,0.021365240321784322,0.013242313146046618,7.143864987566256e-05,5.685264959781692e-05,3.523763729393322e-05
random_adaptive,0.0,10,0.8801575578532743,0.006407937864920596,0.0039716810365651506,0.8756279130367677,0.006311311295839783,0.003911791268571688,0.5516666666666666,0.04263685300966643,0.02642659528338081,0.7349732477260568,0.022570625510140704,0.013989418626041916,0.10579179736719888,0.008549804960242064,0.005299224016015774,12409713.027666036,931043.8906675185,577066.9820344523,5376912.0,188470.9974080893,116815.53443987764,32390400.0,0.0,0.0,1.2625,0.07219764539096829,0.04474856422277704,2.4131979642361086,0.1804989905405341,0.1118744333919778,21.349870735343025,1.8544252823042862,1.1493846979657276,7.275274712193243,0.5566322442041386,0.3450042393121229,1.5418257258914063,0.5134914520558591,0.3182652993146385,0.8965639186485401,0.025193045624870437,0.01561481145274158,0.05190060108988008,0.014936324560615404,0.009257629874679442,1.9701616655291188e-05,1.4946724016718255e-05,9.264075524350982e-06
resource_adaptive,0.0,10,0.8806991629739045,0.004918482948088912,0.0030485073147374924,0.8761109837641976,0.00583142078432471,0.003614352047969073,0.5566666666666666,0.03063121944908939,0.018985426509643827,0.7241595226588884,0.024938056537065805,0.015456767578735124,0.10740311871832282,0.005460388221439264,0.0033843836829467707,8754100.363300486,519093.990109145,321737.7883761637,4958539.2,97297.1733525697,60305.41282731081,32390400.0,0.0,0.0,1.0314999999999999,0.008514693182963193,0.005277461510991809,1.7735434226497595,0.08979492097969859,0.055655468631694405,14.152596645849428,0.8054116708589886,0.49919932546326834,8.00152962460248,0.10441577383419229,0.0647175671171518,0.17473924719938339,0.06998572459821928,0.043377601511818506,0.6700484450761874,0.06184622063239458,0.03833268468684655,0.15738039384489758,0.03225008763221696,0.01998881140493512,8.410737185014734e-05,5.4658586356868e-05,3.387774280825073e-05
utility_adaptive,0.0,10,0.8795667159034958,0.01931383965443025,0.011970841839570673,0.8737335291725821,0.024038854032254055,0.01489943609212013,0.5766666666666667,0.04245549594342843,0.0263141890091615,0.7487556050328794,0.018696114942859696,0.011587972096686104,0.09774451747562542,0.004869020524180593,0.003017850186781454,12792875.359998722,1021049.9556973439,632853.3191042542,5446512.0,212813.8461660801,131903.388415079,32390400.0,0.0,0.0,1.284,0.08900062421753627,0.05516315839801453,2.4731550035344045,0.1797425690024149,0.11140559846537156,22.060922995043942,2.1110915512923007,1.3084680996394826,6.778815647585529,1.0235418306965565,0.6343977992300749,2.2523144041214644,0.8690143457422995,0.5386206717737159,0.6328522594650441,0.05124987930879153,0.03176500429120536,0.06332132437527274,0.01704938933130355,0.010567320988371286,2.222209092784659e-05,1.4849394375132435e-05,9.203749987504212e-06
proposed_fixed_comp,0.0,10,0.8068439192516003,0.05706992419633508,0.035372305485300355,0.7678187530284684,0.08821081300149851,0.05467362833462611,0.5121033868092691,0.09307558742180705,0.05768884675896176,0.6629525199323746,0.07993803023115019,0.04954610445077483,0.11280271759996326,0.021368698461147768,0.013244456523030152,30722731.94788021,1395580.8571611126,864989.9768416078,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.045,0.012909944487358077,0.008001666493091726,1.8959031859621962,0.08612144902504931,0.053378627125395685,48.00760275666541,2.244962591980075,1.391442230296329,5.6196604351961295,0.34991185220010196,0.21687761291514235,0.5816325654605429,0.22926892140049576,0.14210234970987481,0.6602772052221586,0.04820568616262325,0.029878193831249688,0.09946775532029169,0.03145194748183477,0.019494119014556655,9.580942743911414e-05,4.6086748803689335e-05,2.8564862849652916e-05
fedcg_adapted,0.0,10,0.8778434268833086,0.004770583227361681,0.0029568381181085232,0.872756686648227,0.00550666250446948,0.003413064780714256,0.5516666666666666,0.03088209357708289,0.01914091990513557,0.7254158166347364,0.03323782832502112,0.020601019429006304,0.10753315147044769,0.0058447884702084694,0.003622637425518992,9262257.47258756,562852.4630883657,348859.5709190369,4958539.2,97297.1733525697,60305.41282731081,32390400.0,0.0,0.0,1.089,0.02705960499013654,0.016771716933244755,1.877742304967483,0.10137369420953117,0.06283206663139804,15.290048987508886,0.9629705628531009,0.5968553384687857,8.021980296906852,0.12042226953997717,0.0746384959395968,0.6537821857136125,0.15649804937909595,0.09699849594064283,0.6994919417320944,0.05947704672684812,0.03686425548679211,0.13178985329886278,0.030257481627292738,0.018753781407776827,9.10961728852793e-05,5.3957327314482164e-05,3.3443097950720083e-05
proposed,0.0,10,0.8843919251600196,0.006452341966351236,0.003999202983768047,0.8800149418080929,0.006314980499832049,0.003914065464767496,0.5716666666666667,0.044479153113884645,0.027568464718108254,0.7509074198726247,0.01627516992325133,0.01008745482769343,0.09940217717706877,0.006772881243199112,0.00419787528586703,11220302.197302895,647795.7461357481,401507.96320600784,5033798.4,75756.74687841341,46954.51817908491,32390400.0,0.0,0.0,1.204,0.060037025612903604,0.037211333996213805,2.2604892759900315,0.13406159411523008,0.08309223689480194,19.12427499542219,1.350941388615256,0.837322147589315,7.406425599877219,0.619630697743051,0.3840510853533695,1.2841565203664176,0.4762453681308424,0.2951799373261704,0.8021105484276729,0.039971922154372244,0.024774854026701126,0.03066680916491974,0.005860391485393599,0.0036323082745238276,7.506829306864655e-05,3.566819854268103e-05,2.210737849627423e-05
random,0.5,10,0.81698670605613,0.05327296991599626,0.033018928840610716,0.7976812914787262,0.0693916491566785,0.04300938973835965,0.4738235294117647,0.09588792715158932,0.059431952982619475,0.6479749650494486,0.07668080574716436,0.04752725579968191,0.12735074439592178,0.016568174027393513,0.01026906065293526,39641601.75100595,3345663.470922098,2073663.7030975164,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.264,0.07629620640052238,0.047288878654969654,2.4462876278020054,0.20646126276918564,0.12796601643324923,67.21807507544248,7.010858774025635,4.345375287620561,3.9086497560045546,0.908867146254332,0.5633216934415679,3.511290986554458,0.9036371960514028,0.5600801367222268,0.8964432806015274,0.022521638179709175,0.013959055964073553,0.06698235869845974,0.006684641738642859,0.0041431838743225275,4.615008673856758e-05,3.33752950321231e-05,2.0686222176795866e-05
resource,0.5,10,0.8678483505662236,0.010902002061995394,0.006757130884064497,0.8609799054201058,0.013483924294955686,0.008357422863590647,0.5433333333333333,0.043885372573625556,0.02720043572635747,0.7124593437350777,0.028613095305613585,0.017734580206349267,0.11023939651305585,0.008939123113614101,0.005540525907440629,28748792.64644848,1430676.0358933168,886742.1939797633,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.0325,0.009204467514322695,0.005704988070880493,1.7740911733837177,0.08828717638559629,0.05472095885044921,44.68023743719675,2.30625447381328,1.4294313322358108,5.969242989900449,0.33593602473329465,0.20821530530693447,0.5149275799393916,0.1663950314095603,0.10313270895553578,0.6669709350562059,0.055539468674193876,0.03442371932502086,0.16833043466746728,0.03273225595375728,0.020287662426818093,8.146969371276162e-05,4.85118140982646e-05,3.006793389152798e-05
utility,0.5,10,0.7747907434761201,0.05401569147522445,0.033479272432327366,0.7271234874731407,0.07409193164147845,0.045922655004799716,0.506441303794245,0.10760078839402418,0.06669165959356582,0.6173456533815653,0.08708962172666046,0.053978706782871685,0.11839910185501197,0.021883408032555073,0.013563476820540842,41383626.53010833,4244724.720768346,2630907.6389778396,16204800.0,0.0,0.0,32390400.0,0.0,0.0,1.2885,0.10990020725892903,0.06811685417150606,2.5537881695613844,0.26194243191945404,0.16235360133897694,70.75107852828287,9.319269796482999,5.7761432625540206,3.0376267276086066,1.1097695553939642,0.6878422966996361,4.010558507264083,1.3526188050975334,0.838361821096381,0.6380380264609908,0.08443412881271073,0.05233281522284202,0.06649747485393846,0.018029627112772992,0.011174878659818078,5.365106267108361e-05,3.109556870181368e-05,1.9273233158251386e-05
random_adaptive,0.5,10,0.8776957163958642,0.005676844837919045,0.0035185448837939414,0.8735608887558491,0.006419664897949958,0.003978949526940637,0.5633333333333334,0.03583225665910467,0.022209062770315244,0.7277645354021758,0.022650101146541306,0.014038678135827307,0.10541208002797649,0.0061203236407501044,0.0037934158935403134,12396527.376427727,1022676.887464065,633861.7018604362,5341324.8,158899.63737655288,98487.01560300699,32390400.0,0.0,0.0,1.2635,0.07612307286376598,0.047181569377129556,2.419827533751326,0.195356591480545,0.12108326986109126,21.34128970799285,2.0550109727446606,1.2737089969402209,6.362255961639488,0.665974587010231,0.41277532551349394,1.559483875850958,0.5257535150051459,0.32586540467013164,0.8964432806015274,0.022521638179709175,0.013959055964073553,0.05140712719815649,0.009396461971761184,0.005823987468472734,2.5027798336915875e-05,2.1354135355956843e-05,1.3235430216917397e-05
