relay_pressure_weight,compression_distortion_weight,n,seed_role,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,class_coverage_js_mean,class_coverage_js_sd,class_coverage_js_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95
1.0,0.1,10,tuning,0.8858690300344658,0.004052204001184591,0.002511582060728626,0.881684410448867,0.0039603590823296415,0.0024546559902500096,11832354.892283926,1224859.7449974108,759175.9352551905,20.42272074928827,2.701673082208424,1.6745143248574057,1.4701467841493299,0.520794947068559,0.3227920524221216,0.0209872853289654,0.005412961916028251,0.0033549885543100793,6.90363571407542e-05,3.412107818468182e-05,2.1148463363718476e-05,0.8271540895135491,0.026461502638343952,0.016401009254953452
1.0,0.2,10,tuning,0.8857213195470213,0.0034539946617564003,0.002140808070813768,0.8818359677398068,0.0033054195499767278,0.0020487202624735437,12458401.235388096,1045569.0899334446,648050.4359507866,21.356444665084236,2.4166445794751756,1.4978518285833056,1.4345025339676976,0.4931782466989386,0.3056750441953444,0.01948904512993095,0.0028018870314143285,0.0017366275740883774,6.989645240415122e-05,2.9705479878222694e-05,1.8411647179083047e-05,0.8285420601231284,0.016232701938724944,0.010061132898180359
1.0,0.4,10,tuning,0.8772525849335302,0.013420084666202925,0.008317854651750339,0.8725505036973777,0.016110588285910703,0.009985446072026337,15089469.335896183,1064885.1460097856,660022.6515428899,25.310219247936736,2.2013997998895256,1.3644417320247981,1.474233028669275,0.466227845037458,0.28897101218643806,0.017422544388740066,0.004180695780658842,0.002591222090742981,6.938879864030716e-05,3.256846369520987e-05,2.0186142933195945e-05,0.8422082804589028,0.018218864043045145,0.011292168924365457
2.0,0.1,10,tuning,0.8835548990645001,0.003436794943602842,0.0021301475750560425,0.8794153008315954,0.0033683684554045865,0.0020877363982773913,11765257.845367163,1180410.9797386837,731626.3051248413,20.281708074474487,2.5961257064518652,1.6090953836023105,1.44013461917054,0.5479376200471611,0.3396152554280295,0.022806629654579212,0.005090211083126986,0.0031549455155679357,7.30657270740988e-05,3.5863106994974646e-05,2.2228184006589582e-05,0.8236420064328168,0.027512271243322388,0.017052282383717254
2.0,0.2,10,tuning,0.8809453471196456,0.006989394846568085,0.004332071807554057,0.8759792278464127,0.008795924084159221,0.0054517702294472475,12311455.353140784,1022781.3101143262,633926.423689607,21.08927888236493,2.355038345854926,1.4596678893876374,1.379072771772123,0.49330834081609026,0.30575567736454046,0.021716558928686396,0.004477561983887494,0.0027752216697986593,6.51148011460019e-05,2.3732413678398942e-05,1.4709502393026788e-05,0.8240444769689986,0.021311789508273338,0.013209183988603828
2.0,0.4,10,tuning,0.8714426390940423,0.013783283373030343,0.008542967542483607,0.8649797123393205,0.016148639243684034,0.0100090302999944,14976906.278391868,926488.156098558,574243.3084944485,25.088419753125116,1.9082238737266923,1.1827294103912336,1.445401719353351,0.48170389356274357,0.29856316644019976,0.01768542808399386,0.00313278718482121,0.0019417216140098924,5.217747031161776e-05,2.185693010894966e-05,1.3547065633465054e-05,0.8269045891071315,0.01623130963320174,0.010060269938276535
3.0,0.1,10,tuning,0.8836533727227966,0.005373861508277085,0.0033307538705068217,0.8796155892079127,0.005520567987633057,0.003421683488471613,11705209.411149431,1179873.9235144039,731293.4342283836,20.145459988310485,2.576811008647516,1.5971240098759096,1.3812609898348334,0.5019622154550232,0.3111194044356811,0.025774584930469864,0.006291476727283847,0.003899497675615159,6.765062891974123e-05,4.206465573439404e-05,2.6071943737863402e-05,0.8245366707452915,0.020868112466823935,0.01293419010928884
3.0,0.2,10,tuning,0.8842934515017233,0.004879720580114412,0.003024482150158499,0.8798701494673169,0.006413844398257896,0.003975341943855781,12200025.885604914,983218.1897694779,609404.947649526,20.85949518543655,2.2656782269060205,1.4042819138466633,1.3253808365046713,0.4705266362569967,0.291635430588536,0.02459072905940879,0.005609875910515743,0.0034770371125555735,7.424515094783002e-05,3.9182990954619704e-05,2.428586940305722e-05,0.8212879428811835,0.023129345363746993,0.014335716779066853
3.0,0.4,10,tuning,0.8842934515017232,0.004026864975015712,0.00249587676959731,0.8805465294849567,0.004108736005065388,0.002546620959748159,14635863.970865617,908315.936361573,562980.0500105006,24.484385563638874,1.739746003980242,1.0783057448597697,1.3231366371788025,0.4413889224507705,0.2735756884667255,0.02179986601711198,0.003362129584249096,0.0020838695058729745,5.988772610434965e-05,1.941787061354778e-05,1.2035320896055392e-05,0.8261221255213227,0.01999487108265035,0.012392949491951938
5.0,0.1,10,tuning,0.8855736090595766,0.005339415740709393,0.003309404162578556,0.8814046004471943,0.0050575491151369865,0.003134701418072401,11519735.158739168,1084476.8088367356,672165.6899688,19.737632312193973,2.3759035691943464,1.4726002887972092,1.2464634869761322,0.44698613242914303,0.27704487515320575,0.030437758592222232,0.00761188786743573,0.004717896979160152,7.422505613027179e-05,3.068697324185534e-05,1.901998306841718e-05,0.8124471879858832,0.02199667186440515,0.013633678470833095
5.0,0.2,10,tuning,0.8847365829640571,0.005659023343454317,0.003507499007085883,0.8808517329437373,0.004581379513983676,0.0028395684416054343,12052996.306929417,901564.6991612589,558795.5898413985,20.536177084309138,2.100393370385161,1.3018372984160136,1.263366940987726,0.46383620849553087,0.2874886605001135,0.028516946034382196,0.00596630102642609,0.0036979516881425513,7.424237623017281e-05,3.0950509373699165e-05,1.9183324455203053e-05,0.8137952055401341,0.023062928912164455,0.014294551435889858
5.0,0.4,10,tuning,0.8805022156573117,0.0066547682595985485,0.004124668100181515,0.8752167517519884,0.0074992634946854245,0.004648091669724153,14254223.157112379,1080901.0353649377,669949.402609533,23.822039634899088,1.837894494851362,1.1391388097517223,1.260085746120843,0.390426710140992,0.24198898202873126,0.026724996454084382,0.007585083007807282,0.0047012831550379015,6.832140984327728e-05,3.4041744776390816e-05,2.1099292007828724e-05,0.8149550633804242,0.02255364144910422,0.013978891795950172
