baseline,metric,n,proposed_minus_baseline_mean,percent_change_vs_baseline,exact_signflip_p
random,accuracy,10,0.08457087753134039,10.29403133986736,0.001953125
random,macro_f1,10,0.11108658186832532,13.975469796929557,0.001953125
random,worst_client_accuracy,10,0.06901229935376278,10.651512792034051,0.015625
random,p10_client_accuracy,10,0.12287124461946089,16.81145377485046,0.001953125
random,effective_bits,10,-29777644.16708241,-71.89861867433227,0.001953125
random,energy_j,10,-50.801682486923674,-71.72163737256133,0.001953125
random,max_relay_energy_j,10,-2.396500493778095,-62.872536001102034,0.001953125
random,representation_js,10,-0.026303072768040746,-44.55489587445638,0.00390625
resource,accuracy,10,0.030761812921890064,3.5141834205453035,0.001953125
resource,macro_f1,10,0.033553137378795096,3.8460648266887527,0.001953125
resource,worst_client_accuracy,10,0.03554626635135112,5.2168294840449825,0.015625
resource,p10_client_accuracy,10,0.05747945527368927,7.218589005278142,0.001953125
resource,effective_bits,10,-18012576.85917537,-60.7484499671929,0.001953125
resource,energy_j,10,-25.891535821559028,-56.38205232207207,0.001953125
resource,max_relay_energy_j,10,0.9576099619039604,209.28139373728624,0.001953125
resource,representation_js,10,-0.1306829761735831,-79.96994884371878,0.001953125
utility,accuracy,10,0.18736740597878496,26.0682900650701,0.001953125
utility,macro_f1,10,0.243357230126286,36.72775212117053,0.001953125
utility,worst_client_accuracy,10,0.1487595415337351,26.182521803655632,0.001953125
utility,p10_client_accuracy,10,0.22904495721589643,36.664531020715444,0.001953125
utility,effective_bits,10,-30695239.43761788,-72.50772355508373,0.001953125
utility,energy_j,10,-52.322481186964595,-72.3160283767653,0.001953125
utility,max_relay_energy_j,10,-3.6208593381416554,-71.89894177603917,0.001953125
utility,representation_js,10,-0.04356262390081121,-57.09779785355453,0.001953125
