method,seed,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,class_coverage_js
random,53,0.0,0.8148695224027572,0.8031931011094461,0.45714285714285713,0.6497619047619048,0.12852884806674378,39878650.02181285,16204800.0,32390400.0,1.255,2.460915902807369,66.93159477727521,5.092717600489264,3.8618866508241143,0.9170105456212746,0.06536734270636291,4.1234704265410006e-05
random,59,0.0,0.8542589857213195,0.8426135769709119,0.48333333333333334,0.7142857142857143,0.12070765412398628,37208216.79958393,16204800.0,32390400.0,1.21,2.2961231733550496,61.98722343037219,4.303899422002962,2.7172934968388716,0.9195402298850575,0.062058579258254594,4.447903831036328e-05
random,61,0.0,0.8163466272772033,0.8016461894031511,0.48333333333333334,0.6097198879551822,0.1386224606870717,41084095.638198376,16204800.0,32390400.0,1.35,2.5353040850981454,71.2456701651493,4.129448656434601,4.321780621079023,0.8760402978537013,0.06837243855212141,1.6699232310313358e-05
random,67,0.0,0.8261939931068439,0.814083574155429,0.45714285714285713,0.6463305322128852,0.14068125101253798,34506057.92312703,16204800.0,32390400.0,1.145,2.1293726502719585,55.92511508673243,5.334305126449874,2.5618610523832333,0.8960573476702509,0.06657766918064001,4.617111325214639e-05
random,71,0.0,0.7769571639586411,0.7414440404011091,0.4666666666666667,0.6164285714285714,0.1272188192690051,42893208.407730155,16204800.0,32390400.0,1.33,2.646944634165812,73.37904730139401,5.213071037542836,4.403359288557617,0.9456264775413712,0.034383947438766195,5.21996832427438e-05
random,73,0.0,0.8468734613490891,0.8327964180405525,0.48333333333333334,0.7257142857142856,0.11364766357890829,34541838.27336127,16204800.0,32390400.0,1.17,2.131580659641666,57.981976751221275,4.8583374592751625,3.1939850804017205,0.8691873098652759,0.08174989424352469,1.76507644264896e-05
random,79,0.0,0.8759231905465288,0.8704185035506783,0.5333333333333333,0.6935393258426966,0.11307319554129447,40052411.78253414,16204800.0,32390400.0,1.255,2.4716387602768375,67.67134709315964,4.7455273728644745,3.1281278400459396,0.9057971014492754,0.06052986614996339,3.547378564582087e-05
random,83,0.0,0.8754308222550468,0.8737700623207195,0.6,0.7060714285714286,0.10587388598454317,43159991.7368142,16204800.0,32390400.0,1.355,2.6634078629056916,75.56835332308624,2.130328804480037,6.006068853753677,0.8888888888888888,0.086802453623079,2.6134067414094846e-05
random,89,0.0,0.8660758247168883,0.8596739271834494,0.55,0.6657142857142857,0.11790632601029066,40369124.10651195,16204800.0,32390400.0,1.29,2.491183112812992,69.30142410468487,3.7276180090394786,4.383365982272411,0.8726003490401396,0.09804764989495049,4.455664734294971e-05
random,97,0.0,0.7892663712456918,0.7657843325895196,0.4,0.559731182795699,0.14743130952567673,40528811.871458024,16204800.0,32390400.0,1.27,2.501037462446808,67.72112959973065,5.402562856937123,3.5261675643110273,0.8748906386701663,0.061199615883148935,3.453229313677168e-05
