correlation,method,accuracy_95ci,macro_f1_95ci,effective_mbit_95ci,energy_j_95ci,max_relay_energy_j_95ci,representation_js_95ci
0.0,random,0.9357 ± 0.0174,0.9352 ± 0.0174,1.867 ± 0.126,6.977 ± 0.278,0.3367 ± 0.0782,0.0545 ± 0.0077
0.0,resource,0.9347 ± 0.0157,0.9343 ± 0.0157,1.543 ± 0.094,6.288 ± 0.181,0.1131 ± 0.0279,0.0960 ± 0.0206
0.0,utility,0.9325 ± 0.0154,0.9324 ± 0.0153,1.913 ± 0.192,7.079 ± 0.402,0.4438 ± 0.1526,0.0813 ± 0.0136
0.0,proposed,0.9326 ± 0.0155,0.9323 ± 0.0155,0.591 ± 0.052,4.828 ± 0.107,0.1034 ± 0.0262,0.0170 ± 0.0037
0.5,random,0.9382 ± 0.0175,0.9380 ± 0.0176,1.890 ± 0.142,7.029 ± 0.308,0.3321 ± 0.0708,0.0543 ± 0.0066
0.5,resource,0.9391 ± 0.0150,0.9389 ± 0.0151,1.550 ± 0.093,6.303 ± 0.180,0.1133 ± 0.0264,0.1041 ± 0.0245
0.5,utility,0.9408 ± 0.0144,0.9409 ± 0.0144,1.931 ± 0.150,7.113 ± 0.324,0.4007 ± 0.1274,0.0860 ± 0.0145
0.5,proposed,0.9394 ± 0.0147,0.9394 ± 0.0147,0.585 ± 0.042,4.816 ± 0.089,0.0954 ± 0.0248,0.0194 ± 0.0046
0.9,random,0.9350 ± 0.0189,0.9349 ± 0.0189,1.878 ± 0.128,6.994 ± 0.281,0.3241 ± 0.0603,0.0597 ± 0.0128
0.9,resource,0.9363 ± 0.0159,0.9363 ± 0.0158,1.544 ± 0.096,6.291 ± 0.188,0.1113 ± 0.0276,0.0744 ± 0.0215
0.9,utility,0.9340 ± 0.0183,0.9342 ± 0.0180,1.737 ± 0.167,6.712 ± 0.340,0.3057 ± 0.1083,0.0713 ± 0.0092
0.9,proposed,0.9364 ± 0.0179,0.9365 ± 0.0178,0.544 ± 0.047,4.732 ± 0.095,0.0727 ± 0.0206,0.0202 ± 0.0050
