dataset,variant,n,seed_role,rmse_c_mean,rmse_c_sd,rmse_c_ci95,mae_c_mean,mae_c_sd,mae_c_ci95,effective_bits_mean,effective_bits_sd,effective_bits_ci95,energy_j_mean,energy_j_sd,energy_j_ci95,max_relay_energy_j_mean,max_relay_energy_j_sd,max_relay_energy_j_ci95,participation_jain_mean,participation_jain_sd,participation_jain_ci95,utility_target_js_mean,utility_target_js_sd,utility_target_js_ci95,temperature_coverage_js_mean,temperature_coverage_js_sd,temperature_coverage_js_ci95,accuracy_mean,accuracy_sd,accuracy_ci95,macro_f1_mean,macro_f1_sd,macro_f1_ci95,worst_client_accuracy_mean,worst_client_accuracy_sd,worst_client_accuracy_ci95,class_coverage_js_mean,class_coverage_js_sd,class_coverage_js_ci95
Intel,proposed,10,evaluation,1.73480239243298,0.004876893507301142,0.003022729912275089,0.7789901095339365,0.009662131564350918,0.005988651187928713,992276.115288799,34405.88049321204,21324.98566337306,3.482235065164236,0.07913352513438784,0.04904746702575813,0.09694453452385955,0.0038236505480848323,0.002369923162865852,0.6626807861123158,0.011594179878764401,0.007186147139643717,0.011764398561541994,0.002027957881576078,0.001256941317315403,0.0037545870113881185,0.00030925703854984806,0.00019167949835417907,,,,,,,,,,,,
Intel,proposed_no_rep,10,evaluation,1.735319322908861,0.008104946842495808,0.00502349809802784,0.7877983038003217,0.021820369819962427,0.013524405331582782,1022969.9988051135,37780.17280506658,23416.393705917544,3.552830997251759,0.08689439745165366,0.053857705523610674,0.09900171749625646,0.006022786511401738,0.003732961754445956,0.5947193677130216,0.014825271729971298,0.009188798617132354,0.031808384450538234,0.004434090083580373,0.0027482775068381495,0.0046547890918337675,0.0005191502929630354,0.00032177268524654766,,,,,,,,,,,,
Intel,proposed_fixed_comp,10,evaluation,1.7369453872008584,0.00473641691947097,0.00293566162108257,0.8047926958212456,0.012874907714830514,0.007979950476494259,2372897.127455671,15392.49253818806,9540.365716412833,6.657663393147996,0.035402732837831616,0.021942841147748943,0.14299646478547284,0.007662495944313347,0.00474926419018325,0.6751938314634304,0.012231891215853153,0.007581404721366443,0.028340987962540403,0.003639873263518507,0.0022560168217854743,0.002578842402664607,0.00034020263126369437,0.00021085977543203353,,,,,,,,,,,,
Intel,proposed_age_only,10,evaluation,1.7356158438685294,0.007455315740408848,0.004620852569417729,0.7843375946681654,0.015796673350460255,0.009790879579262978,990789.9240425702,32076.046261698528,19880.939445899756,3.4788168252979097,0.07377490640190668,0.04572616072556947,0.09726876189884215,0.005975634922647308,0.003703736896957078,0.6649806912472085,0.014143351011568446,0.008766139776985338,0.01149907106665625,0.0022675787278946258,0.0014054598565632645,0.0036522929665080256,0.0003701041837281823,0.0002293929496591429,,,,,,,,,,,,
Intel,proposed_no_relay,10,evaluation,1.735865603807738,0.006691777175283823,0.00414760646377204,0.7839006257696879,0.01879442319419245,0.011648904182138063,1044047.6942116745,45838.786812886094,28411.174415491674,3.6013096966868487,0.10542920966963774,0.06534570115563068,0.10623892503000713,0.005944184725587414,0.0036842438628652803,0.6661976394245863,0.026319473095387992,0.016312978432201836,0.011152762964862306,0.0021017843646213576,0.001302699445575729,0.0035894676913313757,0.0005242207352948674,0.00032491537796312006,,,,,,,,,,,,
UCI HAR,proposed,10,evaluation,,,,,,,11253027.880925816,568259.7458229775,352211.03948023677,19.199521551518746,1.211794661225465,0.7510781124373012,1.2421220972369713,0.44324311853775766,0.27472493110796187,0.817237423790278,0.03409339291670247,0.02113130385684689,0.027457506262656844,0.005420737305037041,0.0033598077903465554,,,,0.8867060561299853,0.0020161063698115023,0.0012495956742205041,0.8826666012507411,0.001761651264231951,0.0010918827658260638,0.5683333333333334,0.04743416490252569,0.029399999999999996,6.41251747947297e-05,2.930615767151359e-05,1.816414471115992e-05
UCI HAR,proposed_no_rep,10,evaluation,,,,,,,10069983.529075522,476656.7316578741,295434.9030817515,16.6587611005346,0.9123229432096114,0.5654636185854804,0.5711793234924099,0.1933707877305039,0.11985245594518949,0.6701422260599394,0.053267766256247955,0.03301570357888397,0.0853577590320393,0.014109583815584487,0.008745210652082044,,,,0.8838995568685377,0.005921170841885398,0.0036699797099655792,0.8797010648083132,0.007016128500311774,0.004348641497811692,0.5816666666666667,0.05744025344694593,0.03560183793285862,9.83322048535953e-05,5.56489861772514e-05,3.449159897667084e-05
UCI HAR,proposed_fixed_comp,10,evaluation,,,,,,,31231811.378314078,1615524.571611917,1001312.5034032455,49.25836042756002,3.1950078849625196,1.9802864035010446,0.8068701656378708,0.5189185945090233,0.32162907705692423,0.7031917505206887,0.0466813677000317,0.028933411459887537,0.10097740472038434,0.030788881248731484,0.019083146305470373,,,,0.794682422451994,0.04079895167947954,0.025287452237044237,0.7569987124930375,0.06317776882004307,0.0391579868039453,0.5031818181818182,0.0826298240615401,0.05121449555191657,7.818647167513074e-05,3.24601191889282e-05,2.011899031247991e-05
UCI HAR,proposed_age_only,10,evaluation,,,,,,,11277886.766288158,609433.43674948,377730.7575089338,19.255145520759644,1.3237307567809367,0.8204568232482431,1.2647904102180505,0.44610080317732304,0.2764961423978807,0.823459853514661,0.03621565240283973,0.02244669391421698,0.026846199015194784,0.005697270450596141,0.0035312048096920916,,,,0.8861152141802068,0.005101288235325613,0.003161811205631392,0.8819649548346089,0.005067338475467421,0.0031407689264665345,0.575,0.033564016593318244,0.020803193012279928,5.7072027766539005e-05,2.2349929602232254e-05,1.3852629885145101e-05
UCI HAR,proposed_no_relay,10,evaluation,,,,,,,11681403.520940386,691997.787261303,428904.6721343043,20.087484401414734,1.456902731116965,0.9029976680912976,1.599118158054327,0.5567005033112287,0.34504654674501584,0.8212797333243127,0.015493640439035795,0.009603057834868681,0.018686867742393844,0.004825151075273104,0.00299065962064562,,,,0.8823732151649434,0.00466784299129235,0.0028931590600573187,0.8780622677814376,0.005670426555940561,0.003514566791409366,0.5833333333333333,0.049690399499995326,0.030798428691680733,5.1261970591462964e-05,2.30830662199098e-05,1.4307032668539991e-05
